menu_section,restaurant_object_key,menu_item_name,description,menu_name,price,menu_item_extraction_date,restaurant_proprietary_url,restaurant_url,menu_proprietary_url,menu_source,app_filter,airport,datetime_timestamp,standardized_category,standardized_category_v1,main_category,sub_category,size
Chenin Blanc,2067409,"Chateau Yvonne, Saumur Blanc, Loire France 2019",null,Wine,115.0,2025-10-31,http://www.centralmichelrichard.com,http://www.centralmichelrichard.com,https://www.centralmichelrichard.com/menus,https://www.opentable.com/r/central-michel-richard-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Wine,null,null,null
Wings & Tenders,1754299,Chicken Tenders 8,tossed in a sauce of your choice.,Full Menu,16.99,2025-10-31,https://order.ledopizza.com/menu/ledo-pizza-hunt-valley/,https://order.ledopizza.com/menu/ledo-pizza-hunt-valley/,https://ledopizza.com/store/md-hunt-valley/,https://www.yelp.com/biz/ledo-pizza-cockeysville-4,false,DCA,2025-11-03T07:02:20.896Z,null,Appetizers,null,null,null
Beverage,1728393,Cold Beverage,"add a refreshing coca-cola to your order or any other cold beverage, like diet coke, sprite, iced tea and more",Menu,2.99,2025-10-31,null,null,null,https://www.ubereats.com/store/carrabbas-sandwich-bistro-1951-carl-d-silver-pkwy/g8GD5MC0UuWspY0vf0OYGw,false,DCA,2025-11-03T07:02:20.896Z,null,Non-Alcoholic Beverages,null,null,null
"""lunchy"" Things",2140291,Crab Dip With A Kick,warm bread and fried jalapenos,Brunch,12.0,2025-10-31,https://www.lighthousebistro.org,https://www.lighthousebistro.org,https://masked.com/,https://www.opentable.com/r/the-light-house-bistro-annapolis,true,DCA,2025-11-03T07:02:20.896Z,null,Pizzas,null,null,null
Snacks & Soup,2140291,Crab Dip With A Kick,warm bread and fried jalapenos,Dinner,12.0,2025-10-31,https://www.lighthousebistro.org,https://www.lighthousebistro.org,https://masked.com/,https://www.opentable.com/r/the-light-house-bistro-annapolis,true,DCA,2025-11-03T07:02:20.896Z,null,Soups & Salads,null,null,null
Soups & Snacks,2140291,Crab Dip With A Kick,warm bread and fried jalapenos,Lunch,12.0,2025-10-31,https://www.lighthousebistro.org,https://www.lighthousebistro.org,https://masked.com/,https://www.opentable.com/r/the-light-house-bistro-annapolis,true,DCA,2025-11-03T07:02:20.896Z,null,Soups & Salads,null,null,null
Lager,2219658,"Devil's Backbone / Lexington, Va /% - Regular",null,Beverage Menu,6.5,2025-10-31,http://www.copakitchenbar.com/,http://www.copakitchenbar.com/,https://masked.com/,https://www.opentable.com/r/copa-kitchen-and-bar-arlington,true,DCA,2025-11-03T07:02:20.896Z,null,"Beer, Seltzer & Cider",null,null,null
Beer,860799,District Common Lager | Atlas | Washington D.c. - Can (12 Oz),null,Dinner Menu,7.0,2025-10-31,http://www.sonomadc.com/,http://www.sonomadc.com/,http://www.sonomadc.com/#menus,https://www.opentable.com/r/sonoma-restaurant-and-wine-bar-washington,true,DCA,2025-11-03T07:02:20.896Z,null,"Beer, Seltzer & Cider",null,null,null
Merlot,509292,"Elements, 2006, California - Btl","bright and racy, this fruit forward wine begins with aromas of red curant, cherry and a hint of strawberriesdusted with cacao powder. well integrated tannins",Wine List,40.0,2025-10-31,http://ezmedc.com/,http://ezmedc.com/,https://masked.com/,https://www.opentable.com/r/ezme-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Wine,null,null,null
Side Orders,692040,Garlic Bread With Cheese,null,Full Menu,3.99,2025-10-31,http://glenburniewingsandmore.com,http://glenburniewingsandmore.com,https://eat.9fold.me/index.html#/507,https://www.yelp.com/biz/glen-burnie-wings-glen-burnie,false,DCA,2025-11-03T07:02:20.896Z,null,Sides,null,null,null
Champagne,1779147,"Gonet - Medeville, Brut, Premier Cru Nv",null,Drinks Menu,120.0,2025-10-31,http://www.bistrocacao.com,http://www.bistrocacao.com,https://bistrocacao.com/#menu,https://www.opentable.com/r/bistro-cacao-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Wine,null,null,null
Fresh Salads,764406,Grilled Shrimps Salad (large),"grilled shrimps on top of lettuce, tomato, green pepper, red onions, cucumbers, black olive and pepperoncini. side of dressing",Full Menu,11.99,2025-10-31,https://www.pizzabolis.com/locations/severna-park/,https://www.pizzabolis.com/locations/severna-park/,https://www.pizzabolis.com/menu/,https://www.yelp.com/biz/pizza-bolis-severna-park-2,false,DCA,2025-11-03T07:02:20.896Z,null,Soups & Salads,null,null,null
Value Menu,991494,Honey Mustard Chicken Wrap,a crispy chicken tender with lettuce and cheddar cheese wrapped in a flour tortilla with honey mustard. limited time only at participating u.s. locations while supplies last.,Full Menu,2.99,2025-10-31,http://www.arbys.com,http://www.arbys.com,https://arbys.com/our-menu/featured,https://www.yelp.com/biz/arbys-dulles,false,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Other Things,2140291,Jar Of Cranberry-pecan Granola With Vanilla Greek Yogurt,null,Brunch,7.0,2025-10-31,https://www.lighthousebistro.org,https://www.lighthousebistro.org,https://masked.com/,https://www.opentable.com/r/the-light-house-bistro-annapolis,true,DCA,2025-11-03T07:02:20.896Z,null,Pizzas,null,null,null
Other Things,2140291,Jar Of Cranberry-pecan Granola With Vanilla Greek Yogurt,null,Breakfast,7.0,2025-10-31,https://www.lighthousebistro.org,https://www.lighthousebistro.org,https://masked.com/,https://www.opentable.com/r/the-light-house-bistro-annapolis,true,DCA,2025-11-03T07:02:20.896Z,null,Pizzas,null,null,null
Appetizers And Salads,643176,L'enfant Wings,"chicken wings with a choice of mambo or bbq sauce. ranch dressing, celery and carrots",Summer Menu,16.0,2025-10-31,http://www.lenfantbarandgrill.com,http://www.lenfantbarandgrill.com,http://places.singleplatform.com/lenfant-plaza-hotel/menu,https://www.opentable.com/r/lenfant-bar-and-grill-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Appetizers,null,null,null
Main Course,1704403,Line Caught Swordfish,"oven roasted potatoes and winter vegetables, spiced red onions and a warm anchovy balsamic vinaigrette",Valentine's Day Menu,36.0,2025-10-31,http://www.rosewoodhotels.com/en/washington-dc/dining/the-grill-room,http://www.rosewoodhotels.com/en/washington-dc/dining/the-grill-room,https://masked.com/,https://www.opentable.com/r/the-grill-room-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Chef's Specialties,2270791,Majestic Crown Chicken,"hot and spicy. one chicken, two different dishes: one heavenly chicken, one crispy chicken peking style.",Szechuan D'lite (dinner) (village Shops Dr).24,19.5,2025-10-31,https://szechuandlitefs.com,https://szechuandlitefs.com,http://www.szechuandlitefairfaxstation.com/menu.aspx,https://www.yelp.com/biz/szechuan-d-lite-fairfax-station,false,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Chicken,2253507,Mccrispy Meal,(790-1030 cal.),Full Menu,8.75,2025-10-31,http://www.mcdonalds.com,http://www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All,https://www.yelp.com/biz/mcdonalds-sterling-7,false,DCA,2025-11-03T07:02:20.896Z,null,Combo,null,null,null
Most Popular,2253507,Mccrispy Meal,(790-1030 cal.),Full Menu,8.75,2025-10-31,http://www.mcdonalds.com,http://www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All,https://www.yelp.com/biz/mcdonalds-sterling-7,false,DCA,2025-11-03T07:02:20.896Z,null,Combo,null,null,null
Extra Value Meals,2253507,Mccrispy Meal,(790-1030 cal.),Full Menu,8.75,2025-10-31,http://www.mcdonalds.com,http://www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All,https://www.yelp.com/biz/mcdonalds-sterling-7,false,DCA,2025-11-03T07:02:20.896Z,null,Combo,null,null,null
Soups,509292,Mercimek Corbasi,aromatic red lentil soup,Dinner Menu,6.45,2025-10-31,http://ezmedc.com/,http://ezmedc.com/,https://masked.com/,https://www.opentable.com/r/ezme-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Soups & Salads,null,null,null
Sparkling,509385,Michelle Chiarlo Moscato D'asti,null,Beverage Menu,11.0,2025-10-31,http://www.lilyandthecactus.com/,http://www.lilyandthecactus.com/,https://masked.com/,https://www.opentable.com/r/lily-and-the-cactus-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Wine,null,null,null
Beverages,2170127,New Iced Creme Brulee Latte,"330 cal. freshly brewed espresso, foamed milk and naturally flavored creme brulee syrup served over ice, and topped with whipped cream and salted caramel sugar. allergens: contains wheat, milk","{""type"":""breakfast"",""updatedat"":""2024-08-14t08:54:z"",""storeid"":""600781""}",5.89,2025-10-31,null,null,https://www.panerabread.com/en-us/menu-categories/freshly-baked-breads.html,https://www.yelp.com/biz/panera-bread-fairfax-2,false,DCA,2025-11-03T07:02:20.896Z,null,Non-Alcoholic Beverages,null,null,null
Breakfast,2170127,New Iced Creme Brulee Latte,"330 cal. freshly brewed espresso, foamed milk and naturally flavored creme brulee syrup served over ice, and topped with whipped cream and salted caramel sugar. allergens: contains wheat, milk","{""type"":""breakfast"",""updatedat"":""2024-08-14t08:54:z"",""storeid"":""600781""}",5.89,2025-10-31,null,null,https://www.panerabread.com/en-us/menu-categories/freshly-baked-breads.html,https://www.yelp.com/biz/panera-bread-fairfax-2,false,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
What's New,2170127,New Iced Creme Brulee Latte,"330 cal. freshly brewed espresso, foamed milk and naturally flavored creme brulee syrup served over ice, and topped with whipped cream and salted caramel sugar. allergens: contains wheat, milk","{""type"":""breakfast"",""updatedat"":""2024-08-14t08:54:z"",""storeid"":""600781""}",5.89,2025-10-31,null,null,https://www.panerabread.com/en-us/menu-categories/freshly-baked-breads.html,https://www.yelp.com/biz/panera-bread-fairfax-2,false,DCA,2025-11-03T07:02:20.896Z,null,Non-Alcoholic Beverages,null,null,null
Combination Platters,1705451,One Chile Relleno & One Chicken Tamal,null,Menu,18.0,2025-10-31,null,null,http://www.instagram.com/loscaballerosdc/,https://www.opentable.com/r/los-caballeros-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Papadias,1788319,Philly Cheesesteak Papadia,"flatbread-style sandwich with philly sauce, cheese, steak, onions and green peppers. served with garlic dipping sauce.",Menu,7.99,2025-10-31,https://locations.papajohns.com/united-states/va/22304/alexandria/4529-duke-street,https://locations.papajohns.com/united-states/va/22304/alexandria/4529-duke-street,https://www.papajohns.com/order/menu,https://www.ubereats.com/store/papa-johns-pizza-4529-duke-st/qM7zg74ST-64nWCtryPLsw,false,DCA,2025-11-03T07:02:20.896Z,null,Sandwiches & Burgers,null,null,null
Cider And Sparkling Wine,860799,Prosecco | Montelliana | Veneto | Nv - Glass,null,Dinner Menu,11.0,2025-10-31,http://www.sonomadc.com/,http://www.sonomadc.com/,http://www.sonomadc.com/#menus,https://www.opentable.com/r/sonoma-restaurant-and-wine-bar-washington,true,DCA,2025-11-03T07:02:20.896Z,null,"Beer, Seltzer & Cider",null,null,null
Bourbon,1704403,"Rowan's Creek, Ky",null,Rye Bar Menu,14.0,2025-10-31,http://www.rosewoodhotels.com/en/washington-dc/dining/the-grill-room,http://www.rosewoodhotels.com/en/washington-dc/dining/the-grill-room,https://masked.com/,https://www.opentable.com/r/the-grill-room-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Alcohol and Cocktails,null,null,null
Little Flirt (our Appetizers),1152899,Samosa Chat,"samosa, chickpea, onion, cilantro, tomato, tamarind",Main Menu,8.0,2025-10-31,http://www.lemirch.com/,http://www.lemirch.com/,https://masked.com/,https://www.opentable.com/r/le-mirch,true,DCA,2025-11-03T07:02:20.896Z,null,Appetizers,null,null,null
Aagaaz (appetizers),2120157,Samosa Chat,crispy vegetable turnover served on the bed of mildly spiced chick peas.,Main Menu,5.99,2025-10-31,http://www.mounteverestrestaurant.com,http://www.mounteverestrestaurant.com,https://masked.com/,https://www.opentable.com/r/mount-everest-restaurant-nottingham,true,DCA,2025-11-03T07:02:20.896Z,null,Appetizers,null,null,null
Drinks,1875182,Simply Lemonade,"all-natural lemonade, made with cane sugar.",Full Menu,4.67,2025-10-31,https://restaurants.fiveguys.com/6546-little-river-turnpike,https://restaurants.fiveguys.com/6546-little-river-turnpike,http://www.fiveguys.com/menu,https://www.yelp.com/biz/five-guys-annandale-2,false,DCA,2025-11-03T07:02:20.896Z,null,Non-Alcoholic Beverages,null,null,null
Summer,1650457,Strawberries & Cream Feeze,null,Seasonal Menu,5.0,2025-10-31,null,null,null,https://www.toasttab.com/local/order/lo-co-highland-13380-clarksville-pike/r-02dafe52-e51d-4a79-9511-3917439ec223,true,DCA,2025-11-03T07:02:20.896Z,null,Desserts,null,null,null
Craft Pizzas,1754299,"Sweet Baby-q Chicken Pizza 18""","our sweet baby-q chicken pizza is topped with sweet baby-q sauce, smoked provolone cheese, chicken and pre-cooked bacon.",Full Menu,29.46,2025-10-31,https://order.ledopizza.com/menu/ledo-pizza-hunt-valley/,https://order.ledopizza.com/menu/ledo-pizza-hunt-valley/,https://ledopizza.com/store/md-hunt-valley/,https://www.yelp.com/biz/ledo-pizza-cockeysville-4,false,DCA,2025-11-03T07:02:20.896Z,null,Pizzas,null,null,null
Gourmet Beef Burgers,996684,Tex-mex Burger,"our premium beef burger topped with melted jack cheese, fresh pico de gallo, grilled spicy jalapenos, roasted corn & black bean salsa, fresh lettuce, guacamole and our smoky chipotle sauce",Full Menu,14.95,2025-10-31,http://www.meltgourmetcheeseburgers.com,http://www.meltgourmetcheeseburgers.com,http://www.meltgourmetcheeseburgers.com/menu/,https://www.yelp.com/biz/melt-gourmet-cheeseburgers-leesburg,false,DCA,2025-11-03T07:02:20.896Z,null,Sandwiches & Burgers,null,null,null
Signature Grilled Cheese,2236748,The District Cemita,"pepper jack, chorizo, avocado, and spicy salsa on white bread.",Lunch Menu,10.0,2025-10-31,https://www.grilledcheesedc.com,https://www.grilledcheesedc.com,http://eat.chownow.com,https://www.opentable.com/r/gcdc-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Subs And Sandwiches,1644896,Vegan Burger W /fries,rich kitchen plant based vegan burger with special bbu sauce,Menu,15.59,2025-10-31,null,null,null,https://www.ubereats.com/store/rich-kitchen/4kMf3WWbTGqRiDwW00Se4Q,false,DCA,2025-11-03T07:02:20.896Z,null,Sandwiches & Burgers,null,null,null
From The Grill,1745531,1855 Ribeye - Red Wine Sauce,14 oz | garlic-herb butter,Dinner Menu,4.0,2025-10-31,https://www.hilton.com/en/hotels/mclmhhh-hilton-mclean-tysons-corner/dining/,https://www.hilton.com/en/hotels/mclmhhh-hilton-mclean-tysons-corner/dining/,https://www3.hilton.com/en/hotels/virginia/hilton-mclean-tysons-corner-mclmhhh/dining/index.html,https://www.opentable.com/r/harth-mclean,true,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Red,1704403,"2014 Rdv, Cabernet Blend, Friends & Family","virginia, usa",Rye Bar Menu,19.0,2025-10-31,http://www.rosewoodhotels.com/en/washington-dc/dining/the-grill-room,http://www.rosewoodhotels.com/en/washington-dc/dining/the-grill-room,https://masked.com/,https://www.opentable.com/r/the-grill-room-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Wine,null,null,null
Burritos,826575,Avocado Ranch Crispy Chicken Burrito,"a warm flour tortilla filled with premium all-white-meat, marinated chicken seasoned with bold mexican spices and tossed in a crunchy tortilla chip coating. topped with real shredded cheddar cheese, freshly prepared pico de gallo, crisp lettuce, shredded purple cabbage, and cool avocado ranch sauce. grilled to go.",Full Menu,7.92,2025-10-31,http://www.tacobell.com,http://www.tacobell.com,https://www.tacobell.com/food/specialties/power-menu-bowl,https://www.yelp.com/biz/taco-bell-college-park,false,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Limited Time Offers,826575,Avocado Ranch Crispy Chicken Burrito,"a warm flour tortilla filled with premium all-white-meat, marinated chicken seasoned with bold mexican spices and tossed in a crunchy tortilla chip coating. topped with real shredded cheddar cheese, freshly prepared pico de gallo, crisp lettuce, shredded purple cabbage, and cool avocado ranch sauce. grilled to go.",Full Menu,7.92,2025-10-31,http://www.tacobell.com,http://www.tacobell.com,https://www.tacobell.com/food/specialties/power-menu-bowl,https://www.yelp.com/biz/taco-bell-college-park,false,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Cognac / Armagnac Calvados,2067409,Bapt & Clem's Calvados,null,Dessert,35.0,2025-10-31,http://www.centralmichelrichard.com,http://www.centralmichelrichard.com,https://www.centralmichelrichard.com/menus,https://www.opentable.com/r/central-michel-richard-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Alcohol and Cocktails,null,null,null
Breakfast Everyday,2140291,Bistro Breakfast,"2 eggs your way, toast, home fries & choice of bacon, sausage or ham",Lunch,10.0,2025-10-31,https://www.lighthousebistro.org,https://www.lighthousebistro.org,https://masked.com/,https://www.opentable.com/r/the-light-house-bistro-annapolis,true,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Eggs,2140291,Bistro Breakfast,"2 eggs, toast, home fries and choice of bacon, sausage or ham",Brunch,10.0,2025-10-31,https://www.lighthousebistro.org,https://www.lighthousebistro.org,https://masked.com/,https://www.opentable.com/r/the-light-house-bistro-annapolis,true,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Eggs,2140291,Bistro Breakfast,"2 eggs, toast, home fries and choice of bacon, sausage or ham",Breakfast,10.0,2025-10-31,https://www.lighthousebistro.org,https://www.lighthousebistro.org,https://masked.com/,https://www.opentable.com/r/the-light-house-bistro-annapolis,true,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Burgers & Sandwiches,1759150,Chesapeake Chicken Sandwich Tossed Salad With Ra,grilled chicken topped with cheddar cheese and crab dip. served with choice of side.,Full Menu,4.0,2025-10-31,http://theopi.com,http://theopi.com,null,https://www.yelp.com/biz/the-olde-philadelphia-inn-rosedale,false,DCA,2025-11-03T07:02:20.896Z,null,Sandwiches & Burgers,null,null,null
Wraps,1201756,Chicken & Bacon Ranch (830 Cals),"tender rotisserie-style chicken, monterey cheddar cheese, bacon, peppercorn ranch, lettuce, tomatoes & onions, wrapped in lavash.",Full Menu,15.16,2025-10-31,https://restaurants.subway.com/united-states/va/alexandria/1470-n-beauregard-st,https://restaurants.subway.com/united-states/va/alexandria/1470-n-beauregard-st,http://www.subway.com/en-us/menunutrition,https://www.yelp.com/biz/subway-alexandria-80,false,DCA,2025-11-03T07:02:20.896Z,null,Sandwiches & Burgers,null,null,null
Pancakes And Waffles,2140291,Chicken And Waffles,null,Brunch,14.0,2025-10-31,https://www.lighthousebistro.org,https://www.lighthousebistro.org,https://masked.com/,https://www.opentable.com/r/the-light-house-bistro-annapolis,true,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Pancakes And Waffles,2140291,Chicken And Waffles,null,Breakfast,14.0,2025-10-31,https://www.lighthousebistro.org,https://www.lighthousebistro.org,https://masked.com/,https://www.opentable.com/r/the-light-house-bistro-annapolis,true,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Buffet,1745531,Continental,"seasonal fruits, freshly baked croissants, breakfast breads, assorted muffins, bagels, cereal selection, oatmeal, parfaits, greek yogurt, house made granola, rooftop honey, coffee, juice",Brunch Menu,21.0,2025-10-31,https://www.hilton.com/en/hotels/mclmhhh-hilton-mclean-tysons-corner/dining/,https://www.hilton.com/en/hotels/mclmhhh-hilton-mclean-tysons-corner/dining/,https://www3.hilton.com/en/hotels/virginia/hilton-mclean-tysons-corner-mclmhhh/dining/index.html,https://www.opentable.com/r/harth-mclean,true,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Buffet,1745531,Continental,seasonal fruits / freshly baked croissants / breakfast breads / assorted muffins / bagels / cereal selections / oatmeal / parfaits / greek yogurt / house made granola / rooftop honey / coffee / juice,Breakfast Menu,16.0,2025-10-31,https://www.hilton.com/en/hotels/mclmhhh-hilton-mclean-tysons-corner/dining/,https://www.hilton.com/en/hotels/mclmhhh-hilton-mclean-tysons-corner/dining/,https://www3.hilton.com/en/hotels/virginia/hilton-mclean-tysons-corner-mclmhhh/dining/index.html,https://www.opentable.com/r/harth-mclean,true,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Meals,1167520,Crispy Onion Whopper(r) Jr. Meal,"the crispy onion whopper(r) jr. features a flame-grilled beef patty topped with crispy onion rings, crunchy onion crisps, bacon, melty american cheese, bbq sauce, pickles, lettuce, tomatoes and mayo all on a toasted sesame seed bun.",Main Menu,11.88,2025-10-31,https://burgerking.com/store-locator/store/restaurant_4989,https://burgerking.com/store-locator/store/restaurant_4989,http://www.bk.com/menu/kids_meals,https://www.ubereats.com/store/burger-king-7988-crain-highway/Ha-xUlY1Tx6od1sIRUfx3w,false,DCA,2025-11-03T07:02:20.896Z,null,Combo,null,null,null
Shareables,2266885,Crispy Tofu,"soft tofu, fried till crispy, served with sweet and sour dipping sauce",Takeout,8.0,2025-10-31,http://ashburn.hotpotlegend.us,http://ashburn.hotpotlegend.us,null,https://www.toasttab.com/local/order/hotpotlegendashburn/r-e0efb121-bec4-41a2-9165-70f82f6cd40e,true,DCA,2025-11-03T07:02:20.896Z,null,Other,null,null,null
Beverages,2204023,Energy Drink,served cold.,Marco's Gluten-free Pasta Bar,4.29,2025-10-31,null,null,null,https://www.ubereats.com/store/marcos-gluten-free-pasta-bars/C1niUCiIUkeR0_FwtmYK4A,false,DCA,2025-11-03T07:02:20.896Z,null,Non-Alcoholic Beverages,null,null,null
Bottled Beers,1704403,Evolution Evo Lot #3 Ipa,"salisbury, md",Roof Top Lunch Menu,8.0,2025-10-31,http://www.rosewoodhotels.com/en/washington-dc/dining/the-grill-room,http://www.rosewoodhotels.com/en/washington-dc/dining/the-grill-room,https://masked.com/,https://www.opentable.com/r/the-grill-room-washington,true,DCA,2025-11-03T07:02:20.896Z,null,"Beer, Seltzer & Cider",null,null,null
Bottled Beer,1704403,Evolution Evo Lot #3 Ipa,null,Rye Bar Menu,8.0,2025-10-31,http://www.rosewoodhotels.com/en/washington-dc/dining/the-grill-room,http://www.rosewoodhotels.com/en/washington-dc/dining/the-grill-room,https://masked.com/,https://www.opentable.com/r/the-grill-room-washington,true,DCA,2025-11-03T07:02:20.896Z,null,"Beer, Seltzer & Cider",null,null,null
Fish,2253507,Filet-o-fish,(380 cal.),Full Menu,6.23,2025-10-31,http://www.mcdonalds.com,http://www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All,https://www.yelp.com/biz/mcdonalds-sterling-7,false,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Individual Items,2253507,Filet-o-fish,(380 cal.),Full Menu,6.23,2025-10-31,http://www.mcdonalds.com,http://www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All,https://www.yelp.com/biz/mcdonalds-sterling-7,false,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Lamb & Goat,1677645,Goat Wot,braised goat stew in a flavorful berbere sauce served with gomen,Main Menu,22.5,2025-10-31,http://www.letenarestaurant.com,http://www.letenarestaurant.com,http://www.letenarestaurant.com/menu.html,https://www.opentable.com/r/letena-ethiopian-restaurant-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Entrées,null,null,null
Kids Meals,692040,Kids Cheeseburger,null,Full Menu,6.99,2025-10-31,http://glenburniewingsandmore.com,http://glenburniewingsandmore.com,https://eat.9fold.me/index.html#/507,https://www.yelp.com/biz/glen-burnie-wings-glen-burnie,false,DCA,2025-11-03T07:02:20.896Z,null,Kids,null,null,null
