restaurant_name,country,city,address,formatted_address,latitude,longitude,state_or_province,restaurant_extraction_date,zip_or_postal_code,style,cuisines,restaurant_type,rating_value,review_count,phone,restaurant_proprietary_url,restaurant_url,menu_proprietary_url,price_range,takeout,alcohol_service,waiter_service,owner_verification,menu_source,source_restaurant_name,menu_last_updated_by_source,restaurant_source,yelp_menu_provider,restaurant_object_key,distance,app_filter,airport,catering_service,datetime_timestamp
SWTCC MACON CAFETERIA,United States Of America,MEMPHIS,"5983 Macon Cv, Memphis, 38134, Tn",5983 Macon Cv,35.16118,-89.86571,TENNESSEE,2026-02-28,38134,Generic Restaurant,,,,0,+1 901-333-4230,,,,$,No,No,Yes,,https://www.clover.com/online-ordering/0J78APGJ3WYW1?slug=false,SWTCC MACON CAFETERIA,,clover,,2460169,10.321936057147258,true,MEM,,2026-03-07T05:19:15.522Z
One & Only BBQ,United States Of America,MEMPHIS,"1779 Kirby Pkwy 1A, Memphis, Tn 38138, 3666",1779 Kirby Pkwy 1A,35.100645,-89.83967,TENNESSEE,2026-02-28,38120,Barbecue,"barbecue, sandwiches, exclusive to eats, family friendly, bbq joint, bbq, dining and drinking, grill, hot dogs, american, barbeque, restaurant",Casual Dining,4.3,420,+1 901-751-3615,https://oneandonlybbq.com/,https://oneandonlybbq.com/,https://oneandonlybbq.com/menu,$$,Yes,No,Yes,,https://www.clover.com/online-ordering/1B46CK5P4R1J1?slug=false,One & Only BBQ,,clover,,1243019,8.740506806852451,true,MEM,,2026-03-07T05:19:15.522Z
SHWARMA KING,United States Of America,MEMPHIS,"6196 Macon Rd Memphis, Tn",6196 Macon Rd,35.16388,-89.85677,TENNESSEE,2026-02-28,38134,Sandwiches,"sandwiches, vegetarian, desserts, mediterranean, greek",,,0,+1 901-454-3036,https://shawarmakingmemphis.com,https://shawarmakingmemphis.com,,$$,No,No,Yes,,https://www.clover.com/online-ordering/25WQPD5JW0G01?slug=false,SHWARMA KING,,clover,,2461927,10.781810088785472,true,MEM,,2026-03-07T05:19:15.522Z
CARACAS FOOD,United States Of America,MEMPHIS,5529 Summer Ave,5529 Summer Ave,35.16387,-89.876045,TENNESSEE,2026-02-28,38134,Venezuelan,"venezuelan, latin american, burgers",,5.0,2,+1 901-490-3369,,,,$$,Yes,No,Yes,,https://www.clover.com/online-ordering/2CQDAD5B5NW41?slug=false,CARACAS FOOD,,clover,,2514947,10.128844292225242,true,MEM,,2026-03-07T05:19:15.522Z
AL MEDINA MARKET AND DEL,United States Of America,CORDOVA,1105 N Houston Levee Rd,1105 N Houston Levee Rd,35.155725000000004,-89.728005,TENNESSEE,2026-02-28,38018,Mediterranean,"mediterranean, vegetarian, palestinian",,,0,+1 901-308-2617,,,,$$,Yes,No,Yes,,https://www.clover.com/online-ordering/3YQ2E6ZWB3CQ1?slug=false,AL MEDINA MARKET AND DEL,,clover,,2338954,16.108589033020177,true,MEM,,2026-03-07T05:19:15.522Z
ZEN SCALP LOUNGE,United States Of America,CORDOVA,"1770 N Germantown Pkwy 3, Cordova, 38016, Tn",1770 N Germantown Pkwy 3,35.17392,-89.7911,TENNESSEE,2026-02-28,38016,Generic Restaurant,,,,0,+1 901-480-8619,,,,$$$$,No,No,Yes,,https://www.clover.com/online-ordering/C9TEZVG5TTF31?slug=false,ZEN SCALP LOUNGE,,clover,,2465492,13.881165827930781,true,MEM,,2026-03-07T05:19:15.522Z
PopPop’s Pitstop BBQ,United States Of America,CORDOVA,1550 Wood Mills Drive West Memphis,1550 Wood Mills Drive West Memphis,35.155550000000005,-89.77781,TENNESSEE,2026-02-28,38018,American,"american, burgers, bbq",,,0,+1 901-387-7736,,,,$$,Yes,No,Yes,,https://www.clover.com/online-ordering/EZB7J509K5JD1?slug=false,PopPop’s Pitstop BBQ,,clover,,2535870,13.70236529414372,true,MEM,,2026-03-07T05:19:15.522Z
County Line Chicken & Deli,United States Of America,MEMPHIS,4635 Tchulahoma Road,4635 Tchulahoma Road,35.021730000000005,-89.955085,TENNESSEE,2026-02-28,38118,American,"american, wings, comfort food",,4.558803535010196,500,+1 901-509-2929,,,,$$,Yes,No,Yes,,https://www.clover.com/online-ordering/G9BRYPWB7ARJ1?slug=false,County Line Chicken & Deli,,clover,,2101312,1.8794191223593513,true,MEM,,2026-03-07T05:19:15.522Z
DESOTO SNOW & CREAMERY,United States Of America,SOUTHAVEN,"5627 Getwell Rd Southaven, Ms",5627 Getwell Rd,34.94259,-89.9373,MISSISSIPPI,2026-02-28,38672,Ice Cream Parlor,"ice cream parlor, shaved ice, dessert shop, dining and drinking, ice cream & frozen yogurt",,,0,+1 662-536-6291,,,,$,No,No,Yes,,https://www.clover.com/online-ordering/GR8HZ34PBFET1?slug=false,DESOTO SNOW & CREAMERY,,clover,,2459957,7.235146221283814,true,MEM,,2026-03-07T05:19:15.522Z
KEMET COFFEE,United States Of America,SENATOBIA,"306 E Main St Senatobia, Ms",306 E Main St,34.61995,-89.95905,MISSISSIPPI,2026-02-28,38668,Coffee & Tea,"coffee & tea, breakfast & brunch",,,0,+1 662-301-8362,,,,$$,No,No,Yes,,https://www.clover.com/online-ordering/N3SXVM57S0CJ1?slug=false,KEMET COFFEE,,clover,,2457500,29.139492415651656,true,MEM,,2026-03-07T05:19:15.522Z
MARISCOS SINALOA,United States Of America,MEMPHIS,"5040 Summer Ave Memphis, Tn",5040 Summer Ave,35.150335,-89.89323,TENNESSEE,2026-02-28,38122,Seafood Restaurant,"seafood restaurant, mexican, dining and drinking, seafood, mexican restaurant, taco, restaurant",,0.0,3,+1 901-249-8101,,,,$$$,No,No,Yes,,https://www.clover.com/online-ordering/P6Y1JJTY3MDN1?slug=false,MARISCOS SINALOA,,clover,,1846813,8.814293965249334,true,MEM,,2026-03-07T05:19:15.522Z
MISSISSIPPI ALE HOUSE,United States Of America,OLIVE BRANCH,9211 Hwy 178,9211 Hwy 178,34.9630705,-89.826758,MISSISSIPPI,2026-02-28,38654,Dining and Drinking,"dining and drinking, bar, beer bar",Casual Dining,,0,+1 662-420-7538,https://mississippialehouse.com,https://mississippialehouse.com,,$$$,No,Yes,Yes,,https://www.clover.com/online-ordering/QAG6T1KMXAPV1?slug=false,MISSISSIPPI ALE HOUSE,,clover,,2457193,10.110725807283728,true,MEM,,2026-03-07T05:19:15.522Z
MOCHIATSU,United States Of America,SOUTHAVEN,"5847 Getwell Rd Ste A10 Southaven, Ms",5847 Getwell Rd Ste A10,34.945792,-89.937235,MISSISSIPPI,2026-02-28,38672,Donut Shop,"donut shop, korean, bubble tea, coffee and tea, hot dog, dining and drinking, dessert shop, hot dog joint, hot dogs, restaurant, donuts",,4.1000000000000005,68,+1 662-470-5794,https://mochiatsu.com,https://mochiatsu.com,,$$,Yes,No,Yes,,https://www.clover.com/online-ordering/SAESB9Y69WHQ1?slug=false,MOCHIATSU,,clover,,2395847,7.026686978893787,true,MEM,,2026-03-07T05:19:15.522Z
TACONGANAS OLIVE BRANCH,United States Of America,OLIVE BRANCH,"6757 Hacks Cross Rd, Olive Branch, 38654, Ms",6757 Hacks Cross Rd,34.95875,-89.79639,MISSISSIPPI,2026-02-28,38654,Generic Restaurant,,,,0,+1 662-939-8006,,,,$$,No,No,Yes,,https://www.clover.com/online-ordering/V1SHXV2VFQ621?slug=false,TACONGANAS OLIVE BRANCH,,clover,,2443977,11.740560333425202,true,MEM,,2026-03-07T05:19:15.522Z
Sun Of A Vegan,United States Of America,MEMPHIS,"6075 Winchester Rd Memphis, Tn",6075 Winchester Rd,35.047635,-89.86103,TENNESSEE,2026-02-28,38115,Burgers,"burgers, tacos, restaurant, vegan and vegetarian restaurant, dining and drinking, comfort food, vegan",Casual Dining,,0,+1 901-249-7697,http://www.sunofavegan.com,http://www.sunofavegan.com,,$$,Yes,No,Yes,Updated 1 month ago,https://www.clover.com/online-ordering/YV4AXVM5DEW31?slug=false,Sun Of A Vegan,,clover,,2300500,6.565798321105067,true,MEM,,2026-03-07T05:19:15.522Z
Mantra Indian Grill,United States Of America,GERMANTOWN,"2095 Exeter Rd Ste 30 Germantown, Tn",2095 Exeter Rd Ste 30,35.091885000000005,-89.80419499999999,TENNESSEE,2026-02-28,38138,Soup,"soup, vegetarian friendly, indian restaurant, dining and drinking, chicken, grill, south asian, seafood, salads, dessert, curry, restaurant, indian",Casual Dining,0.0,20,+1 901-779-3928,https://www.mantragermantown.com,https://www.mantragermantown.com,,$$$,Yes,No,Yes,,https://www.mantragermantown.com/order,Mantra Indian Grill,,menufy,,2433483,10.35310780858597,true,MEM,,2026-03-07T05:19:15.522Z
Andrew Michael Italian Kitchen,United States Of America,MEMPHIS,"712 W Brookhaven Cir,, Tn, Memphis, 38117, 4504, United States",712 W Brookhaven Cir,35.11304,-89.890222,TENNESSEE,2026-02-28,38117,Italian,"italian, italian restaurant, restaurant, pasta, bars, contemporary italian, pasta shops, dining and drinking, comfort food, southern",Fine Dining,4.8,698,+1 901-347-3569,http://www.andrewmichaelitaliankitchen.com/,http://www.andrewmichaelitaliankitchen.com/,,$$$$,No,Yes,Yes,,https://www.opentable.com/r/andrew-michael-italian-kitchen,Andrew Michael Italian Kitchen,2022-02-01T00:00:00.000Z,opentable,,1149281,6.906552312240032,true,MEM,,2026-03-07T05:19:15.522Z
Bleu Restaurant & Lounge,United States Of America,MEMPHIS,"221 South Third Street,, Tn, Memphis, 38103, United States",221 South Third Street,35.13847,-90.052515,TENNESSEE,2026-02-28,38103,Vegetarian / Vegan,"vegetarian / vegan, contemporary southern, lounges, southern, contemporary american",Fine Dining,3.9,366,+1 901-334-5950,http://www.downtownbleu.com/,http://www.downtownbleu.com/,https://downtownbleu.com/menus/,$,No,No,Yes,,https://www.opentable.com/r/bleu-restaurant-and-lounge,Bleu Restaurant & Lounge,2022-02-05T00:00:00.000Z,opentable,,1158371,7.893691526093745,true,MEM,,2026-03-07T05:19:15.522Z
Boscos Squared,United States Of America,MEMPHIS,"2120 Madison Ave, Tn, Memphis, 38104, 6502, United States",2120 Madison Ave,35.136883499999996,-89.9906,TENNESSEE,2026-02-28,38104,Venues & Event Spaces,"venues & event spaces, brew pub, brewpubs, new american, pub, bar, dining and drinking, american, restaurant, pizza, brewery",Casual Dining,5.0,1,+1 901-432-2222,http://boscosbeer.com/,http://boscosbeer.com/,http://boscosbeer.com/menu/,$$,No,No,Yes,,https://www.opentable.com/r/boscos-squared-memphis,Boscos Squared,2021-12-17T00:00:00.000Z,opentable,,2166104,6.559624167881095,true,MEM,,2026-03-07T05:19:15.522Z
Jim's Place Restaurant & Bar,United States Of America,MEMPHIS,"518 Perkins Extended,, Tn, Memphis, 38117, United States",518 Perkins Extended,35.1173,-89.90782,TENNESSEE,2026-02-28,38117,Steak,"steak, seafood, greek",Fine Dining,4.1,212,,http://jimsplacememphis.com/,http://jimsplacememphis.com/,,$,No,Yes,Yes,,https://www.opentable.com/r/jims-place-restaurant-and-bar,Jim's Place Restaurant & Bar,2022-02-01T00:00:00.000Z,opentable,,1160021,6.470580745467448,true,MEM,,2026-03-07T05:19:15.522Z
Juicy Seafood,United States Of America,SOUTHAVEN,"775 Goodman Rd E,, Ms, Southaven, 38671, United States",775 Goodman Rd E,34.96134,-89.97456,MISSISSIPPI,2026-02-28,38671,Seafood Restaurant,"seafood restaurant, cajun/creole, pub, bar, dining and drinking, seafood, cajun & creole, wings, restaurant, bar / lounge / bottle service, creole / cajun / southern, group friendly",Casual Dining,4.4,9,+1 662-510-2028,https://juicyseafoodsouthaven.com/,https://juicyseafoodsouthaven.com/,https://www.juicyseafoodsouthaven.com/menu.html,$$$$,No,No,Yes,Updated over 3 months ago,https://www.opentable.com/r/juicy-seafood-southaven,Juicy Seafood,2022-12-11T00:00:00.000Z,opentable,,763981,5.590555271470001,true,MEM,,2026-03-07T05:19:15.522Z
Robata Ramen and Yakitori Bar,United States Of America,MEMPHIS,"2116 Madison Avenue,, Tn, Memphis, 38104, United States",2116 Madison Avenue,35.13688,-89.99075,TENNESSEE,2026-02-28,38104,Asian Fusion,"asian fusion, izakaya, japanese, asian, yakitori",Fine Dining,4.1,57,+1 901-410-8290,http://robatamemphis.com/,http://robatamemphis.com/,,$$,No,Yes,Yes,,https://www.opentable.com/r/robata-ramen-and-yakitori-bar-memphis,Robata Ramen and Yakitori Bar,2022-02-01T00:00:00.000Z,opentable,,1070620,6.560412800762353,true,MEM,,2026-03-07T05:19:15.522Z
The Beauty Shop,United States Of America,MEMPHIS,"966 S Cooper St,, Tn, Memphis, 38104, United States",966 S Cooper St,35.11936,-89.99081,TENNESSEE,2026-02-28,38104,American Restaurant,"american restaurant, contemporary, dining and drinking, bar, new american restaurant, american, restaurant, contemporary american",Fine Dining,4.7,2975,+1 901-272-7111,http://www.thebeautyshoprestaurant.com/,http://www.thebeautyshoprestaurant.com/,http://thebeautyshoprestaurant.com/#stag_widget_static_content-5,$$,No,Yes,Yes,,https://www.opentable.com/the-beauty-shop,The Beauty Shop,2024-03-19T00:00:00.000Z,opentable,,1743939,5.364135930484157,true,MEM,,2026-03-07T05:19:15.522Z
Thor Indian Cuisine,United States Of America,MEMPHIS,"3950 Park Ave Memphis, Tn",3950 Park Ave,35.10782,-89.93096,TENNESSEE,2026-02-28,38111,Vegetarian,"vegetarian, indian, asian",,0.0,7,+1 901-695-8171,http://www.thorindiancuisine.com,http://www.thorindiancuisine.com,https://thorindiancuisine.com/menu.php,$$,Yes,No,Yes,,https://www.orderthorindiancuisine.com,Thor Indian Cuisine,,menufy,,2500451,5.199657322830625,true,MEM,,2026-03-07T05:19:15.522Z
Ricos Tacos & 'Ritas,United States Of America,ARLINGTON,Us Route 70,Us Route 70,35.296845,-89.66636,TENNESSEE,2026-02-28,38002,Tacos,"tacos, mexican, taco restaurant, dining and drinking, seafood, mexican restaurant, restaurant",,4.73789173789174,0,+1 901-317-7553,,,,$$,Yes,Yes,Yes,,https://www.toasttab.com/local/order/ricos-tacos-ritas-11875-hwy-70-ste-103/r-e7bf796e-36c0-435d-bfba-7bc852b222b6,Ricos Tacos & 'Ritas,,toasttab,,1819722,24.822904087259463,true,MEM,,2026-03-07T05:19:15.522Z
3 Guys Pizza Pies,United States Of America,ARLINGTON,"9045 Highway 64 Suite 105, Arlington, Tn 38002, 8394",9045 Highway 64 Suite 105,35.202775,-89.761178,TENNESSEE,2026-02-28,38016,Italian,"italian, pizzeria, sandwich, chicken wings, dining and drinking, restaurant, pizza",Casual Dining,4.0,50,+1 901-590-2343,https://www.threeguyspizzapies.com,https://www.threeguyspizzapies.com,https://weborder.order3guys.com/Categories.aspx,$$,Yes,No,Yes,,https://www.tripadvisor.com/Restaurant_Review-g30128-d2207996-Reviews-3_Guys_Pizza_Pies-Arlington_Tennessee.html,3 Guys Pizza Pies,,tripadvisor,,2567558,16.467144549599006,true,MEM,,2026-03-07T05:19:15.522Z
Lennys Grill & Subs,United States Of America,WEST MEMPHIS,"1806 N Missouri Street, West Memphis, Ar",1806 N Missouri Street,35.1668,-90.185435,ARKANSAS,2026-02-28,72301,Sandwiches,"sandwiches, sandwich, american restaurant, sandwich spot, dining and drinking, fast food, comfort food, american, restaurant",QSR,4.2,20,+1 870-551-4538,https://order.lennys.com/menu/lennys-grill-subs-63/,https://order.lennys.com/menu/lennys-grill-subs-63/,http://www.lennys.com/menu/,$,Yes,No,Yes,,https://www.tripadvisor.com/Restaurant_Review-g32004-d875110-Reviews-Lennys_Grill_Subs-West_Memphis_Arkansas.html,Lennys Grill & Subs,,tripadvisor,,1754152,14.607990701471694,true,MEM,,2026-03-07T05:19:15.522Z
Bombay House,United States Of America,CORDOVA,"1727 N Germantown Pkwy, Cordova, Tn 38016, 3327",1727 N Germantown Pkwy,35.17234,-89.795134,TENNESSEE,2026-02-28,38016,Dining and Drinking,"dining and drinking, indian restaurant, restaurant, indian",Casual Dining,4.3,63,+1 901-755-4114,http://www.bombayhouse.com,http://www.bombayhouse.com,,$$,Yes,No,Yes,,https://www.tripadvisor.com/Restaurant_Review-g54973-d441098-Reviews-Bombay_House-Cordova_Tennessee.html,Bombay House,,tripadvisor,,1049165,13.63721046980812,true,MEM,,2026-03-07T05:19:15.522Z
The Cupboard,United States Of America,MEMPHIS,"1400 Union Ave, Memphis, Tn 38104, 3623",1400 Union Ave,35.13698,-90.01524,TENNESSEE,2026-02-28,38104,Restaurant,"restaurant, breakfast & brunch, american restaurant, southern food restaurant, dining and drinking, american, soul food, southern",Casual Dining,4.0,182,+1 901-276-8015,http://www.thecupboardrestaurant.com/,http://www.thecupboardrestaurant.com/,,$$,Yes,No,Yes,,https://www.tripadvisor.com/Restaurant_Review-g55197-d470597-Reviews-The_Cupboard-Memphis_Tennessee.html,The Cupboard,,tripadvisor,,1078436,6.875212036450422,true,MEM,,2026-03-07T05:19:15.522Z
Aldar Cafe,United States Of America,MEMPHIS,"4514 Summer Ave Ste 1 Memphis, Tn",4514 Summer Ave Ste 1,35.149971,-89.91038,TENNESSEE,2026-02-28,38122,Café,"café, coffee and tea, coffee & tea, cafe, coffee, and tea house, desserts, dining and drinking, coffee shop, juice bars & smoothies, pastry, pizza",Casual Dining,4.733333333333333,58,+1 901-695-2040,,,,$,Yes,No,Yes,,https://www.ubereats.com/store/aldar-cafe/5W-p0P-9TGqBTCGEHAJSLA,Aldar Cafe,,ubereats,,1366815,8.311206631096596,true,MEM,,2026-03-07T05:19:15.522Z
American Deli,United States Of America,MEMPHIS,5849 Summer Avenue,5849 Summer Avenue,35.1721,-89.86765,TENNESSEE,2026-02-28,38134,American,"american, burgers, sandwiches",Casual Dining,4.131648235913644,1000,+1 901-791-2856,,,,$,Yes,No,Yes,,https://www.ubereats.com/store/american-deli/6Auy9flgVnWKax2WMxuyNA,American Deli,,ubereats,,1108769,10.865556306134726,true,MEM,,2026-03-07T05:19:15.522Z
American Deli,United States Of America,MEMPHIS,"7041 E Shelby Dr Suite 109, 113, Memphis, Tn 38125, 3417","7041 E Shelby Dr Suite 109, 113",35.019975,-89.82828,TENNESSEE,2026-02-28,38141,Burgers,"burgers, sandwiches, american restaurant, deli, chicken wings, dining and drinking, chicken, fried chicken, fast food, american, wings, restaurant",QSR,4.230950974601298,0,+1 901-502-7000,http://americandeli.com/,http://americandeli.com/,,$$,Yes,No,Yes,,https://www.ubereats.com/store/american-deli/XE0cNWqiUVeGZEI_4GQG4Q,American Deli,,ubereats,,1726859,8.55513363134139,true,MEM,,2026-03-07T05:19:15.522Z
American Deli,United States Of America,MEMPHIS,6668 Winchester Road,6668 Winchester Road,35.049895,-89.841269,TENNESSEE,2026-02-28,38115,Sandwiches,"sandwiches, deli, dining and drinking, american, wings, restaurant",,4.368603843482272,2000,+1 901-759-9800,,,,$$,Yes,No,Yes,,https://www.ubereats.com/store/american-deli/nUr4jyxHVRyPruaNDaNeXQ,American Deli,,ubereats,,1366595,7.693424730902648,true,MEM,,2026-03-07T05:19:15.522Z
Big Red Sandwich Shoppe﻿,United States Of America,FORREST CITY,412 North Division Street,412 North Division Street,35.0112765,-90.789609,ARKANSAS,2026-02-28,72335,Vegetarian,"vegetarian, sandwich spot, dining and drinking, salads, american, restaurant",,,0,+1 737-787-6258,,,,$,Yes,No,Yes,,https://www.ubereats.com/store/big-red-sandwich-shoppe%EF%BB%BF/oMXYQOq_VUmsHPT4U_tzZg,Big Red Sandwich Shoppe﻿,,ubereats,,2188272,46.14779104953992,true,MEM,,2026-03-07T05:19:15.522Z
Brown Jug Liquor Store,United States Of America,MEMPHIS,"2375 Summer Ave Memphis, Tn",2375 Summer Ave,35.150605,-89.979855,TENNESSEE,2026-02-28,38112,Alcohol,"alcohol, beer, wine & spirits",,4.836535975872468,5000,+1 901-458-3501,,,,$,Yes,No,Yes,,https://www.ubereats.com/store/brown-jug-liquor-store/naOWf7mtWbKO2xWDbp1j_Q,Brown Jug Liquor Store,,ubereats,,2401240,7.460064654398683,true,MEM,,2026-03-07T05:19:15.522Z
Burger King,United States Of America,HORN LAKE,"2960 Goodman Rd West, Horn Lake, Ms 38637, 1291",2960 Goodman Rd West,34.96302,-90.042147,MISSISSIPPI,2026-02-28,38637,Burgers,"burgers, dining and drinking, burger, fast food, american, restaurant, fast food restaurant",QSR,1.0,2,+1 662-470-5924,https://burgerking.com/store-locator/store/22456,https://burgerking.com/store-locator/store/22456,http://www.bk.com/menu/kids_meals,$,Yes,No,Yes,,https://www.ubereats.com/store/burger-king-2960-goodman-rd-west/LStosb3PS6iZ8sMoKUJT7Q,Burger King,,ubereats,,763916,6.614565183821429,true,MEM,,2026-03-07T05:19:15.522Z
Cafe 127,United States Of America,COLLIERVILLE,"2130 W Poplar Ave Ste 107 Collierville, Tn",2130 W Poplar Ave Ste 107,35.05291,-89.733405,TENNESSEE,2026-02-28,38139,Sandwiches,"sandwiches, breakfast & brunch, coffee and tea, coffee & tea, american, breakfast and brunch",,3.958904109589041,25,+1 901-810-3714,https://cafe127.com,https://cafe127.com,https://www.cafe127.com/s/shop,$,Yes,No,Yes,Updated 2 weeks ago,https://www.ubereats.com/store/cafe-127/Ep17ousmQUWpBBj-5SS4zg,Cafe 127,,ubereats,,2166296,13.809860658008006,true,MEM,,2026-03-07T05:19:15.522Z
CHAMBERS SOUTHERN SMOKE,United States Of America,MEMPHIS,2383 Frayser Boulevard,2383 Frayser Boulevard,35.21721,-89.98404,TENNESSEE,2026-02-28,38127,American,"american, burgers, bbq",Casual Dining,4.576923076923077,10,+1 901-609-9115,,,,$$,Yes,No,Yes,,https://www.ubereats.com/store/chambers-southern-smoke/srKzUHvsWEa1XFjyE4ISWg,CHAMBERS SOUTHERN SMOKE,,ubereats,,1925382,12.05668257014232,true,MEM,,2026-03-07T05:19:15.522Z
