zip_or_postal_code,ZCTA,CITY,STATE,COUNTY,LAT,LNG,POP,AVG_HOUSEHOLD_SIZE,POP_DENSITY,AREA_TYPE,MEDIAN_INCOME,age_group,population_growth_rate,ESTAB,EMP,RESTAURANT_COUNT,cluster_id,market_segment,price positioning,restaurant_source_file
21060,21060,Glen Burnie,MD,Anne Arundel,39.16893,-76.58346,38418,2.47,1182.2,SUBURBAN,95596,millennial,16.56300252,1069,23961,1,0,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
22314,22314,Alexandria,VA,Alexandria,38.80732,-77.0563,35577,1.83,3819,URBAN,143031,millennial,7.838501409,346,7076,1,2,Youth Convenience Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20010,20010,Washington,DC,District of Columbia,38.93255,-77.03128,32254,2.2,12343.1,URBAN,106560,millennial,-4.159980983,2046,40920,2,3,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20003,20003,Washington,DC,District of Columbia,38.88193,-76.99033,34585,1.86,6367.9,URBAN,155054,millennial,14.29657292,2046,40920,2,8,Social Dining Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
21146,21146,Severna Park,MD,Anne Arundel,39.07737,-76.55613,29710,2.9,1089.2,SUBURBAN,171848,adult,6.537096138,1069,23961,2,4,Premium Dining Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
21117,21117,Owings Mills,MD,Baltimore,39.42719,-76.77795,58516,2.45,816.1,RURAL,96672,millennial,-1.368662352,1418,25165,1,5,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
21157,21157,Westminster,MD,Carroll,39.54889,-76.98162,39816,2.58,193.7,RURAL,96406,adult,7.058159232,251,5327,1,9,Healthy Lifestyle Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20603,20603,Waldorf,MD,Charles,38.62972,-76.97473,32495,2.9,759.1,RURAL,132753,millennial,4.995314873,232,5512,1,14,Social Dining Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
22102,22102,McLean,VA,Fairfax,38.95199,-77.22901,28356,2.2,915.6,RURAL,149420,millennial,15.91382905,2149,36281,1,8,Social Dining Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20009,20009,Washington,DC,District of Columbia,38.91986,-77.03749,50247,1.74,14690.5,URBAN,132374,millennial,-2.512514066,2046,40920,4,12,Youth Convenience Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
21222,21222,Dundalk,MD,Baltimore,39.26424,-76.49537,60013,2.67,1994,SUBURBAN,60483,millennial,9.570758248,1418,25165,1,5,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
20109,20109,Manassas,VA,Prince William,38.79472,-77.53105,44781,3.03,736.4,RURAL,83248,millennial,11.08051793,729,13760,1,0,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
22401,22401,Fredericksburg,VA,Fredericksburg,38.29928,-77.48704,28218,2.3,1070.2,SUBURBAN,83288,millennial,0.29500622,164,3596,2,12,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
20007,20007,Washington,DC,District of Columbia,38.91259,-77.07756,23797,1.93,3074.3,URBAN,145048,millennial,-12.32407339,2046,40920,1,12,Youth Convenience Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20815,20815,Chevy Chase,MD,Montgomery,38.98369,-77.07845,31080,2.33,2187.4,SUBURBAN,185873,adult,1.981887387,1678,28050,1,7,Healthy Lifestyle Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20011,20011,Washington,DC,District of Columbia,38.95295,-77.02323,67127,2.45,4854.8,URBAN,97327,millennial,-0.193288431,2046,40920,2,1,Social Dining Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
21061,21061,Glen Burnie,MD,Anne Arundel,39.16116,-76.63226,55172,2.49,1812.6,SUBURBAN,79778,millennial,2.963571215,1069,23961,3,1,Social Dining Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
22556,22556,Stafford,VA,Stafford,38.48624,-77.513,31200,3.28,264.8,RURAL,126219,millennial,8.529288994,174,3229,1,9,Healthy Lifestyle Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
22203,22203,Arlington,VA,Arlington,38.87377,-77.1164,25753,1.93,6541.6,URBAN,123315,millennial,6.470150488,547,10945,2,12,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20601,20601,Waldorf,MD,Charles,38.61863,-76.85715,27328,2.77,217.5,RURAL,115742,millennial,5.35893284,232,5512,1,9,Healthy Lifestyle Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20852,20852,Rockville,MD,Montgomery,39.05134,-77.12507,48379,2.22,2303.9,SUBURBAN,121550,millennial,3.911250483,1678,28050,3,8,Social Dining Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
22030,22030,Fairfax,VA,Fairfax,38.83891,-77.34188,61665,2.6,1217.8,SUBURBAN,137664,millennial,3.537727929,2149,36281,1,0,Youth Convenience Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
21212,21212,Baltimore,MD,Baltimore,39.3678,-76.61456,33861,2.63,2860.4,SUBURBAN,94014,millennial,-0.438106439,1177,15209,1,11,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
21061,21061,Glen Burnie,MD,Anne Arundel,39.16116,-76.63226,55172,2.49,1812.6,SUBURBAN,79778,millennial,2.963571215,1069,23961,3,1,Social Dining Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
20147,20147,Ashburn,VA,Loudoun,39.04151,-77.47958,66917,2.73,1317,SUBURBAN,154714,millennial,5.442541323,740,13591,2,9,Healthy Lifestyle Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20854,20854,Potomac,MD,Montgomery,39.03413,-77.22149,49320,2.92,576.7,RURAL,241697,adult,-0.411921493,1678,28050,1,13,Youth Convenience Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
22202,22202,Arlington,VA,Arlington,38.8569,-77.05175,28084,1.76,2728.7,SUBURBAN,137736,millennial,19.4606321,547,10945,1,0,Youth Convenience Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20740,20740,College Park,MD,Prince George's,39.00193,-76.93096,36583,2.69,1619.9,SUBURBAN,79446,young,14.78460042,1297,24030,1,5,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
22203,22203,Arlington,VA,Arlington,38.87377,-77.1164,25753,1.93,6541.6,URBAN,123315,millennial,6.470150488,547,10945,2,12,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20006,20006,Washington,DC,District of Columbia,38.89847,-77.04119,1257,1.28,1490.9,SUBURBAN,34352,young,-54.78417266,2046,40920,2,6,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
20852,20852,Rockville,MD,Montgomery,39.05134,-77.12507,48379,2.22,2303.9,SUBURBAN,121550,millennial,3.911250483,1678,28050,3,8,Social Dining Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20136,20136,Bristow,VA,Prince William,38.7374,-77.55473,31733,3.48,902.1,RURAL,171674,millennial,3.692448453,729,13760,1,9,Healthy Lifestyle Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20166,20166,Sterling,VA,Loudoun,38.97146,-77.4637,13479,2.73,212.3,RURAL,133085,millennial,34.36004785,740,13591,1,4,Premium Dining Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
21202,21202,Baltimore,MD,Baltimore,39.29705,-76.60747,20115,1.63,4942.8,URBAN,59098,millennial,-7.678538645,1177,15209,2,6,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
22312,22312,Alexandria,VA,Fairfax,38.81685,-77.15372,26573,2.56,2016.3,SUBURBAN,101374,millennial,-19.74085596,2149,36281,1,13,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20010,20010,Washington,DC,District of Columbia,38.93255,-77.03128,32254,2.2,12343.1,URBAN,106560,millennial,-4.159980983,2046,40920,2,3,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
22150,22150,Springfield,VA,Fairfax,38.77198,-77.18605,27734,2.91,1415.9,SUBURBAN,112331,adult,1.437401704,2149,36281,1,5,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20002,20002,Washington,DC,District of Columbia,38.90511,-76.98431,70043,2.04,5441.7,URBAN,107130,millennial,13.36203408,2046,40920,3,8,Social Dining Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20008,20008,Washington,DC,District of Columbia,38.93539,-77.05935,29545,1.74,3678.8,URBAN,123134,millennial,0.060961154,2046,40920,1,7,Healthy Lifestyle Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
21701,21701,Frederick,MD,Frederick,39.44729,-77.33512,40787,2.28,418.6,RURAL,97769,millennial,11.14532523,449,8867,1,11,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
21211,21211,Baltimore,MD,Baltimore,39.32857,-76.6389,15935,1.88,2015.8,SUBURBAN,79909,millennial,-3.048186907,1177,15209,1,6,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
21401,21401,Annapolis,MD,Anne Arundel,38.98967,-76.5505,40442,2.2,748.3,RURAL,114699,adult,11.93777852,1069,23961,1,0,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
21042,21042,Ellicott City,MD,Howard,39.27105,-76.8924,42528,2.84,452.1,RURAL,178207,adult,5.298603546,590,11401,1,9,Healthy Lifestyle Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
21076,21076,Hanover,MD,Anne Arundel,39.16856,-76.72239,22041,2.52,712.9,RURAL,137237,millennial,33.08978926,1069,23961,2,4,Premium Dining Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20877,20877,Gaithersburg,MD,Montgomery,39.14068,-77.18865,38524,3.04,2638.4,SUBURBAN,86134,millennial,-0.724133488,1678,28050,1,5,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
20036,20036,Washington,DC,District of Columbia,38.90705,-77.04155,4734,1.25,5476.7,URBAN,106930,millennial,-18.88279644,2046,40920,1,12,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20260,20260,Washington,DC,District of Columbia,38.88355,-77.02504,0,-666666666,0,RURAL,-666666666,unknown,,2046,40920,1,10,Social Dining Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
20004,20004,Washington,DC,District of Columbia,38.89504,-77.02661,1782,1.34,3644.4,URBAN,152955,adult,3.785672685,2046,40920,1,2,Youth Convenience Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20002,20002,Washington,DC,District of Columbia,38.90511,-76.98431,70043,2.04,5441.7,URBAN,107130,millennial,13.36203408,2046,40920,3,8,Social Dining Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
21202,21202,Baltimore,MD,Baltimore,39.29705,-76.60747,20115,1.63,4942.8,URBAN,59098,millennial,-7.678538645,1177,15209,2,6,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
20009,20009,Washington,DC,District of Columbia,38.91986,-77.03749,50247,1.74,14690.5,URBAN,132374,millennial,-2.512514066,2046,40920,4,12,Youth Convenience Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20832,20832,Olney,MD,Montgomery,39.15134,-77.07331,25488,3,1026.7,SUBURBAN,160287,adult,-5.065554231,1678,28050,1,7,Healthy Lifestyle Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20011,20011,Washington,DC,District of Columbia,38.95295,-77.02323,67127,2.45,4854.8,URBAN,97327,millennial,-0.193288431,2046,40920,2,1,Social Dining Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20006,20006,Washington,DC,District of Columbia,38.89847,-77.04119,1257,1.28,1490.9,SUBURBAN,34352,young,-54.78417266,2046,40920,2,6,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
20003,20003,Washington,DC,District of Columbia,38.88193,-76.99033,34585,1.86,6367.9,URBAN,155054,millennial,14.29657292,2046,40920,2,8,Social Dining Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20009,20009,Washington,DC,District of Columbia,38.91986,-77.03749,50247,1.74,14690.5,URBAN,132374,millennial,-2.512514066,2046,40920,4,12,Youth Convenience Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20024,20024,Washington,DC,District of Columbia,38.87517,-77.0295,15444,1.61,2796.3,SUBURBAN,97694,millennial,22.61035249,2046,40920,1,2,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
