zip_or_postal_code,ZCTA,CITY,STATE,COUNTY,AREA_TYPE,cluster_id,market_segment,price positioning,market trend,menu_signal_strength,Age Demand Level,Income Level,Growth Level,Competition Level,Cuisine Variety Level,Cuisine Focus Level,Customer Engagement Level,Fast Food Level,Healthy Level,Beverage Level,Wings Level,restaurant_source_file
20817,20817,Bethesda,MD,Montgomery,SUBURBAN,3,Youth Convenience Market,higher-income trade area,younger-customer demand,Medium,Balanced Age Demand,High,Stable,Low,Low,High,Low,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21045,21045,Columbia,MD,Howard,SUBURBAN,9,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Stable,Low,Medium,High,High,High,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21220,21220,Middle River,MD,Baltimore,RURAL,5,Youth Convenience Market,value-oriented trade area,customer engagement,High,Balanced Age Demand,Low,Growing,Low,Medium,High,High,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
22401,22401,Fredericksburg,VA,Fredericksburg,SUBURBAN,12,Youth Convenience Market,value-oriented trade area,fast-service concentration,Medium,Balanced Age Demand,Low,Stable,High,Low,High,High,Medium,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20020,20020,Washington,DC,District of Columbia,URBAN,5,Youth Convenience Market,value-oriented trade area,younger-customer demand,Medium,Balanced Age Demand,Low,Declining,Low,Low,High,Medium,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20794,20794,Jessup,MD,Howard,RURAL,6,Youth Convenience Market,mid-market trade area,beverage-led food concentration,High,Balanced Age Demand,Medium,Declining,High,Medium,Medium,Medium,High,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
20782,20782,Hyattsville,MD,Prince George's,URBAN,3,Youth Convenience Market,value-oriented trade area,local growth,High,Balanced Age Demand,Low,Growing,Medium,Medium,High,Low,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
22201,22201,Arlington,VA,Arlington,URBAN,7,Healthy Lifestyle Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Stable,Low,High,Low,High,High,High,High,Medium,Comp_Restaurants_Curated_DCA.csv
21237,21237,Rosedale,MD,Baltimore,SUBURBAN,3,Youth Convenience Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Stable,Medium,Low,High,Low,Low,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
21227,21227,Halethorpe,MD,Baltimore,SUBURBAN,6,Youth Convenience Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Stable,Medium,High,Low,High,High,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
20910,20910,Silver Spring,MD,Montgomery,URBAN,9,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Growing,Low,High,Low,Medium,High,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20165,20165,Sterling,VA,Loudoun,SUBURBAN,8,Social Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Stable,High,High,Low,Medium,Medium,High,High,Medium,Comp_Restaurants_Curated_DCA.csv
21146,21146,Severna Park,MD,Anne Arundel,SUBURBAN,4,Premium Dining Market,higher-income trade area,fast-service concentration,High,Balanced Age Demand,High,Growing,High,Medium,Low,High,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21076,21076,Hanover,MD,Anne Arundel,RURAL,4,Premium Dining Market,higher-income trade area,wings and chicken-wing concentration,High,Balanced Age Demand,High,Growing,High,High,Low,High,High,Low,High,High,Comp_Restaurants_Curated_DCA.csv
20852,20852,Rockville,MD,Montgomery,SUBURBAN,8,Social Dining Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Stable,High,Medium,Low,High,Medium,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
22003,22003,Annandale,VA,Fairfax,SUBURBAN,7,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Declining,Low,High,Medium,High,High,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21030,21030,Cockeysville,MD,Baltimore,RURAL,1,Social Dining Market,value-oriented trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Low,Stable,High,Low,Low,Medium,Medium,Low,Medium,High,Comp_Restaurants_Curated_DCA.csv
20706,20706,Lanham,MD,Prince George's,SUBURBAN,11,Youth Convenience Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Growing,Low,Low,High,Low,Low,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
22044,22044,Falls Church,VA,Fairfax,SUBURBAN,3,Youth Convenience Market,value-oriented trade area,competitive intensity,High,Balanced Age Demand,Low,Stable,High,Low,High,Low,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20018,20018,Washington,DC,District of Columbia,SUBURBAN,3,Youth Convenience Market,value-oriented trade area,competitive intensity,High,Balanced Age Demand,Low,Stable,High,Low,High,Low,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
22039,22039,Fairfax Station,VA,Fairfax,RURAL,2,Youth Convenience Market,higher-income trade area,competitive intensity,High,Balanced Age Demand,High,Declining,High,Medium,Medium,Medium,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20009,20009,Washington,DC,District of Columbia,URBAN,12,Youth Convenience Market,higher-income trade area,health-oriented food concentration,Medium,Balanced Age Demand,High,Declining,High,Low,Low,High,Low,Medium,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20777,20777,Highland,MD,Howard,RURAL,3,Youth Convenience Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Declining,High,Low,High,Low,Low,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
20147,20147,Ashburn,VA,Loudoun,SUBURBAN,9,Healthy Lifestyle Market,higher-income trade area,health-oriented food concentration,High,Balanced Age Demand,High,Growing,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20607,20607,Accokeek,MD,Prince George's,RURAL,3,Youth Convenience Market,higher-income trade area,competitive intensity,High,Balanced Age Demand,High,Growing,High,Low,High,Low,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20745,20745,Oxon Hill,MD,Prince George's,SUBURBAN,14,Social Dining Market,value-oriented trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Low,Declining,Medium,High,Low,Low,High,Low,Medium,High,Comp_Restaurants_Curated_DCA.csv
20902,20902,Silver Spring,MD,Montgomery,SUBURBAN,14,Social Dining Market,mid-market trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Medium,Stable,Low,High,Medium,Low,High,Low,Medium,High,Comp_Restaurants_Curated_DCA.csv
21060,21060,Glen Burnie,MD,Anne Arundel,SUBURBAN,0,Youth Convenience Market,mid-market trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Medium,Growing,Low,High,Low,Low,High,High,High,High,Comp_Restaurants_Curated_DCA.csv
22314,22314,Alexandria,VA,Alexandria,URBAN,2,Youth Convenience Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Growing,Medium,High,Low,Low,Low,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
20010,20010,Washington,DC,District of Columbia,URBAN,3,Youth Convenience Market,mid-market trade area,competitive intensity,High,Balanced Age Demand,Medium,Declining,High,Low,Medium,Low,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20003,20003,Washington,DC,District of Columbia,URBAN,8,Social Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Growing,High,Low,Low,High,Low,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
21146,21146,Severna Park,MD,Anne Arundel,SUBURBAN,4,Premium Dining Market,higher-income trade area,fast-service concentration,High,Balanced Age Demand,High,Growing,High,Medium,Low,High,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21117,21117,Owings Mills,MD,Baltimore,RURAL,5,Youth Convenience Market,mid-market trade area,fast-service concentration,High,Balanced Age Demand,Medium,Declining,Low,Medium,High,Medium,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21157,21157,Westminster,MD,Carroll,RURAL,9,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Growing,Low,High,Medium,Medium,High,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20603,20603,Waldorf,MD,Charles,RURAL,14,Social Dining Market,higher-income trade area,wings and chicken-wing concentration,High,Balanced Age Demand,High,Stable,Medium,Medium,High,Low,High,Low,Medium,High,Comp_Restaurants_Curated_DCA.csv
22102,22102,McLean,VA,Fairfax,RURAL,8,Social Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Growing,Medium,High,Low,High,Low,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
20009,20009,Washington,DC,District of Columbia,URBAN,12,Youth Convenience Market,higher-income trade area,health-oriented food concentration,Medium,Balanced Age Demand,High,Declining,High,Low,Low,High,Low,Medium,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21222,21222,Dundalk,MD,Baltimore,SUBURBAN,5,Youth Convenience Market,value-oriented trade area,fast-service concentration,High,Balanced Age Demand,Low,Growing,Low,Medium,High,Low,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20109,20109,Manassas,VA,Prince William,RURAL,0,Youth Convenience Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Growing,Low,Medium,Medium,Low,High,High,High,Medium,Comp_Restaurants_Curated_DCA.csv
22401,22401,Fredericksburg,VA,Fredericksburg,SUBURBAN,12,Youth Convenience Market,value-oriented trade area,fast-service concentration,Medium,Balanced Age Demand,Low,Stable,High,Low,High,High,Medium,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20007,20007,Washington,DC,District of Columbia,URBAN,12,Youth Convenience Market,higher-income trade area,customer engagement,High,Balanced Age Demand,High,Declining,Medium,Low,High,High,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20815,20815,Chevy Chase,MD,Montgomery,SUBURBAN,7,Healthy Lifestyle Market,higher-income trade area,health-oriented food concentration,High,Balanced Age Demand,High,Stable,Medium,High,Low,High,High,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20011,20011,Washington,DC,District of Columbia,URBAN,1,Social Dining Market,mid-market trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Medium,Declining,Medium,Low,Medium,Medium,High,Low,Medium,High,Comp_Restaurants_Curated_DCA.csv
21061,21061,Glen Burnie,MD,Anne Arundel,SUBURBAN,1,Social Dining Market,value-oriented trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Low,Stable,High,Low,Low,Medium,High,Low,Medium,High,Comp_Restaurants_Curated_DCA.csv
22556,22556,Stafford,VA,Stafford,RURAL,9,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Growing,Medium,High,Medium,Medium,High,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
22203,22203,Arlington,VA,Arlington,URBAN,12,Youth Convenience Market,mid-market trade area,competitive intensity,High,Balanced Age Demand,Medium,Growing,High,Low,High,High,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20601,20601,Waldorf,MD,Charles,RURAL,9,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Stable,Medium,Medium,High,Low,High,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20852,20852,Rockville,MD,Montgomery,SUBURBAN,8,Social Dining Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Stable,High,Medium,Low,High,Medium,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
22030,22030,Fairfax,VA,Fairfax,SUBURBAN,0,Youth Convenience Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Stable,Low,High,Low,Medium,High,High,High,Medium,Comp_Restaurants_Curated_DCA.csv
21212,21212,Baltimore,MD,Baltimore,SUBURBAN,11,Youth Convenience Market,value-oriented trade area,health-oriented food concentration,High,Balanced Age Demand,Low,Declining,Medium,Low,High,Low,Low,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21061,21061,Glen Burnie,MD,Anne Arundel,SUBURBAN,1,Social Dining Market,value-oriented trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Low,Stable,High,Low,Low,Medium,High,Low,Medium,High,Comp_Restaurants_Curated_DCA.csv
20147,20147,Ashburn,VA,Loudoun,SUBURBAN,9,Healthy Lifestyle Market,higher-income trade area,health-oriented food concentration,High,Balanced Age Demand,High,Growing,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20854,20854,Potomac,MD,Montgomery,RURAL,13,Youth Convenience Market,higher-income trade area,fast-service concentration,High,Balanced Age Demand,High,Declining,Low,High,Low,High,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
22202,22202,Arlington,VA,Arlington,SUBURBAN,0,Youth Convenience Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Growing,Medium,High,Medium,Medium,High,High,High,Medium,Comp_Restaurants_Curated_DCA.csv
20740,20740,College Park,MD,Prince George's,SUBURBAN,5,Youth Convenience Market,value-oriented trade area,fast-service concentration,High,Balanced Age Demand,Low,Growing,Medium,Medium,Medium,Medium,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
22203,22203,Arlington,VA,Arlington,URBAN,12,Youth Convenience Market,mid-market trade area,competitive intensity,High,Balanced Age Demand,Medium,Growing,High,Low,High,High,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20006,20006,Washington,DC,District of Columbia,SUBURBAN,6,Youth Convenience Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Declining,High,Medium,Medium,High,Medium,High,High,Medium,Comp_Restaurants_Curated_DCA.csv
20852,20852,Rockville,MD,Montgomery,SUBURBAN,8,Social Dining Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Stable,High,Medium,Low,High,Medium,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20136,20136,Bristow,VA,Prince William,RURAL,9,Healthy Lifestyle Market,higher-income trade area,fast-service concentration,High,Balanced Age Demand,High,Stable,Medium,Medium,Medium,Medium,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20166,20166,Sterling,VA,Loudoun,RURAL,4,Premium Dining Market,higher-income trade area,fast-service concentration,High,Balanced Age Demand,High,Growing,High,High,Low,Medium,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21202,21202,Baltimore,MD,Baltimore,URBAN,6,Youth Convenience Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Declining,High,Medium,Low,High,Medium,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
22312,22312,Alexandria,VA,Fairfax,SUBURBAN,13,Youth Convenience Market,mid-market trade area,fast-service concentration,High,Balanced Age Demand,Medium,Declining,Medium,High,Low,Medium,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20010,20010,Washington,DC,District of Columbia,URBAN,3,Youth Convenience Market,mid-market trade area,competitive intensity,High,Balanced Age Demand,Medium,Declining,High,Low,Medium,Low,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
22150,22150,Springfield,VA,Fairfax,SUBURBAN,5,Youth Convenience Market,mid-market trade area,fast-service concentration,High,Balanced Age Demand,Medium,Stable,Medium,Low,High,Medium,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20002,20002,Washington,DC,District of Columbia,URBAN,8,Social Dining Market,mid-market trade area,beverage-led food concentration,High,Balanced Age Demand,Medium,Growing,Medium,Medium,Low,High,Low,Medium,High,Medium,Comp_Restaurants_Curated_DCA.csv
20008,20008,Washington,DC,District of Columbia,URBAN,7,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Stable,Medium,High,Medium,High,High,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21701,21701,Frederick,MD,Frederick,RURAL,11,Youth Convenience Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Growing,Low,Low,High,Medium,Low,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21211,21211,Baltimore,MD,Baltimore,SUBURBAN,6,Youth Convenience Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Declining,High,Medium,High,Low,High,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
21401,21401,Annapolis,MD,Anne Arundel,RURAL,0,Youth Convenience Market,mid-market trade area,beverage-led food concentration,High,Balanced Age Demand,Medium,Growing,Low,High,Medium,Low,High,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
21042,21042,Ellicott City,MD,Howard,RURAL,9,Healthy Lifestyle Market,higher-income trade area,health-oriented food concentration,High,Balanced Age Demand,High,Stable,Low,High,Medium,Low,Low,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21076,21076,Hanover,MD,Anne Arundel,RURAL,4,Premium Dining Market,higher-income trade area,wings and chicken-wing concentration,High,Balanced Age Demand,High,Growing,High,High,Low,High,High,Low,High,High,Comp_Restaurants_Curated_DCA.csv
20877,20877,Gaithersburg,MD,Montgomery,SUBURBAN,5,Youth Convenience Market,value-oriented trade area,fast-service concentration,High,Balanced Age Demand,Low,Declining,Low,Low,High,Medium,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20036,20036,Washington,DC,District of Columbia,URBAN,12,Youth Convenience Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Declining,High,Low,High,High,Low,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20260,20260,Washington,DC,District of Columbia,RURAL,10,Social Dining Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Stable,Medium,Medium,High,Medium,Low,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
20004,20004,Washington,DC,District of Columbia,URBAN,2,Youth Convenience Market,higher-income trade area,competitive intensity,High,Balanced Age Demand,High,Stable,High,High,Low,Low,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20002,20002,Washington,DC,District of Columbia,URBAN,8,Social Dining Market,mid-market trade area,beverage-led food concentration,High,Balanced Age Demand,Medium,Growing,Medium,Medium,Low,High,Low,Medium,High,Medium,Comp_Restaurants_Curated_DCA.csv
21202,21202,Baltimore,MD,Baltimore,URBAN,6,Youth Convenience Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Declining,High,Medium,Low,High,Medium,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
20009,20009,Washington,DC,District of Columbia,URBAN,12,Youth Convenience Market,higher-income trade area,health-oriented food concentration,Medium,Balanced Age Demand,High,Declining,High,Low,Low,High,Low,Medium,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20832,20832,Olney,MD,Montgomery,SUBURBAN,7,Healthy Lifestyle Market,higher-income trade area,health-oriented food concentration,High,Balanced Age Demand,High,Declining,Medium,Medium,Medium,High,Low,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20011,20011,Washington,DC,District of Columbia,URBAN,1,Social Dining Market,mid-market trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Medium,Declining,Medium,Low,Medium,Medium,High,Low,Medium,High,Comp_Restaurants_Curated_DCA.csv
20006,20006,Washington,DC,District of Columbia,SUBURBAN,6,Youth Convenience Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Declining,High,Medium,Medium,High,Medium,High,High,Medium,Comp_Restaurants_Curated_DCA.csv
20003,20003,Washington,DC,District of Columbia,URBAN,8,Social Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Growing,High,Low,Low,High,Low,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
20009,20009,Washington,DC,District of Columbia,URBAN,12,Youth Convenience Market,higher-income trade area,health-oriented food concentration,Medium,Balanced Age Demand,High,Declining,High,Low,Low,High,Low,Medium,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20024,20024,Washington,DC,District of Columbia,SUBURBAN,2,Youth Convenience Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Growing,High,High,Medium,Low,Low,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
