zip_or_postal_code,ZCTA,CITY,STATE,COUNTY,LAT,LNG,POP,AVG_HOUSEHOLD_SIZE,POP_DENSITY,AREA_TYPE,MEDIAN_INCOME,age_group,population_growth_rate,ESTAB,EMP,RESTAURANT_COUNT,market_segment,price positioning,market trend,menu_signal_strength,Age Demand Level,Income Level,Growth Level,Competition Level,Cuisine Variety Level,Cuisine Focus Level,Customer Engagement Level,Fast Food Level,Healthy Level
20903,20903,Silver Spring,MD,Montgomery,39.02128,-76.9821,25324.0,3.58,2809.6,SUBURBAN,78649,millennial,-2.6149823104137826,1678,28050,1.0,Healthy Lifestyle Market,value-oriented trade area,health-oriented food concentration,High,Balanced Age Demand,Low,Declining,Medium,Medium,Medium,High,High,High
20602,20602,Waldorf,MD,Charles,38.58335,-76.89466,28988.0,2.75,755.6,RURAL,102536,millennial,10.032264186752704,232,5512,1.0,Premium Dining Market,mid-market trade area,fast-service concentration,High,Balanced Age Demand,Medium,Growing,Medium,Low,High,Low,High,Low
20176,20176,Leesburg,VA,Loudoun,39.18147,-77.5345,50640.0,3.07,362.0,RURAL,156077,millennial,-3.0200892429668498,740,13591,1.0,Family Value Market,higher-income trade area,fast-service concentration,High,Balanced Age Demand,High,Declining,Low,Low,High,High,High,Low
20721,20721,Bowie,MD,Prince George's,38.92106,-76.78881,30785.0,2.86,711.8,RURAL,162538,adult,2.1535704804884523,1297,24030,1.0,Healthy Lifestyle Market,higher-income trade area,health-oriented food concentration,High,Balanced Age Demand,High,Stable,Medium,Medium,Medium,Medium,High,High
21030,21030,Cockeysville,MD,Baltimore,39.49002,-76.6659,25133.0,2.3,414.6,RURAL,92333,millennial,0.7576972418216805,1418,25165,2.0,Social Dining Market,value-oriented trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Low,Stable,High,Low,Low,Medium,Medium,Low
20817,20817,Bethesda,MD,Montgomery,38.99809,-77.14919,37795.0,2.77,1030.1,SUBURBAN,231292,adult,1.52850158491377,1678,28050,1.0,Premium Dining Market,higher-income trade area,younger-customer demand,Medium,Balanced Age Demand,High,Stable,Low,Low,High,Low,Low,Low
21045,21045,Columbia,MD,Howard,39.20622,-76.82747,40980.0,2.66,1593.9,SUBURBAN,115134,millennial,3.1462371004278884,590,11401,1.0,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Stable,Low,Medium,High,High,High,High
21220,21220,Middle River,MD,Baltimore,39.345,-76.3966,42652.0,2.62,780.7,RURAL,77571,millennial,5.459400652754426,1418,25165,1.0,Family Value Market,value-oriented trade area,customer engagement,High,Balanced Age Demand,Low,Growing,Low,Medium,High,High,Low,Low
22401,22401,Fredericksburg,VA,Fredericksburg,38.29928,-77.48704,28218.0,2.3,1070.2,SUBURBAN,83288,millennial,0.29500622001066285,164,3596,2.0,Premium Dining Market,value-oriented trade area,fast-service concentration,Medium,Balanced Age Demand,Low,Stable,High,Low,High,High,Medium,Low
20020,20020,Washington,DC,District of Columbia,38.86234,-76.97446,52349.0,2.24,4450.2,URBAN,48106,millennial,-7.546536681855109,2046,40920,1.0,Family Value Market,value-oriented trade area,younger-customer demand,Medium,Balanced Age Demand,Low,Declining,Low,Low,High,Medium,Low,Low
20794,20794,Jessup,MD,Howard,39.15107,-76.78882,16035.0,2.67,673.1,RURAL,111200,millennial,-3.1819828523125224,590,11401,1.0,Social Dining Market,mid-market trade area,beverage-led food concentration,High,Balanced Age Demand,Medium,Declining,High,Medium,Medium,Medium,High,Low
20782,20782,Hyattsville,MD,Prince George's,38.96469,-76.9649,34625.0,2.73,3113.8,URBAN,82037,millennial,5.9711085266572805,1297,24030,1.0,Premium Dining Market,value-oriented trade area,local growth,High,Balanced Age Demand,Low,Growing,Medium,Medium,High,Low,Low,Low
22201,22201,Arlington,VA,Arlington,38.88684,-77.09501,38010.0,1.9,6304.7,URBAN,140453,millennial,1.2951710905020788,547,10945,1.0,Healthy Lifestyle Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Stable,Low,High,Low,High,High,High
21237,21237,Rosedale,MD,Baltimore,39.33938,-76.49456,30983.0,2.53,1078.2,SUBURBAN,84118,adult,2.9848761841449227,1418,25165,1.0,Premium Dining Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Stable,Medium,Low,High,Low,Low,Low
21227,21227,Halethorpe,MD,Baltimore,39.24024,-76.67913,35052.0,2.52,1189.3,SUBURBAN,78626,millennial,3.3189883864882392,1418,25165,1.0,Social Dining Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Stable,Medium,High,Low,High,High,Low
20910,20910,Silver Spring,MD,Montgomery,39.00227,-77.03634,45072.0,2.06,3859.6,URBAN,103813,millennial,6.641429078433692,1678,28050,1.0,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Growing,Low,High,Low,Medium,High,High
20165,20165,Sterling,VA,Loudoun,39.05058,-77.38854,34222.0,2.85,1336.5,SUBURBAN,173015,millennial,2.2284621818616324,740,13591,2.0,Social Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Stable,High,High,Low,Medium,Medium,High
21146,21146,Severna Park,MD,Anne Arundel,39.07737,-76.55613,29710.0,2.9,1089.2,SUBURBAN,171848,adult,6.537096137985442,1069,23961,2.0,Premium Dining Market,higher-income trade area,fast-service concentration,High,Balanced Age Demand,High,Growing,High,Medium,Low,High,High,Low
21076,21076,Hanover,MD,Anne Arundel,39.16856,-76.72239,22041.0,2.52,712.9,RURAL,137237,millennial,33.08978926393334,1069,23961,2.0,Premium Dining Market,higher-income trade area,wings and chicken-wing concentration,High,Balanced Age Demand,High,Growing,High,High,Low,High,High,Low
20852,20852,Rockville,MD,Montgomery,39.05134,-77.12507,48379.0,2.22,2303.9,SUBURBAN,121550,millennial,3.911250483268182,1678,28050,3.0,Social Dining Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Stable,High,Medium,Low,High,Medium,High
22003,22003,Annandale,VA,Fairfax,38.8308,-77.21402,58872.0,3.07,1765.0,SUBURBAN,125222,millennial,-3.849483088079178,2149,36281,1.0,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Declining,Low,High,Medium,High,High,High
21030,21030,Cockeysville,MD,Baltimore,39.49002,-76.6659,25133.0,2.3,414.6,RURAL,92333,millennial,0.7576972418216805,1418,25165,2.0,Social Dining Market,value-oriented trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Low,Stable,High,Low,Low,Medium,Medium,Low
20706,20706,Lanham,MD,Prince George's,38.96548,-76.85091,43797.0,3.32,1637.1,SUBURBAN,99555,millennial,9.034554869547899,1297,24030,1.0,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Growing,Low,Low,High,Low,Low,High
22044,22044,Falls Church,VA,Fairfax,38.85957,-77.15627,14042.0,2.6,2522.8,SUBURBAN,92889,millennial,3.6998744553578025,2149,36281,1.0,Premium Dining Market,value-oriented trade area,competitive intensity,High,Balanced Age Demand,Low,Stable,High,Low,High,Low,Low,Low
20018,20018,Washington,DC,District of Columbia,38.92596,-76.97281,20475.0,2.21,2502.5,SUBURBAN,87552,millennial,1.6330785267546908,2046,40920,1.0,Premium Dining Market,value-oriented trade area,competitive intensity,High,Balanced Age Demand,Low,Stable,High,Low,High,Low,Low,Low
22039,22039,Fairfax Station,VA,Fairfax,38.74992,-77.31536,17624.0,3.14,320.9,RURAL,250001,adult,-2.8713144116836595,2149,36281,1.0,Premium Dining Market,higher-income trade area,competitive intensity,High,Balanced Age Demand,High,Declining,High,Medium,Medium,Medium,Low,Low
20009,20009,Washington,DC,District of Columbia,38.91986,-77.03749,50247.0,1.74,14690.5,URBAN,132374,millennial,-2.51251406619844,2046,40920,4.0,Premium Dining Market,higher-income trade area,health-oriented food concentration,Medium,Balanced Age Demand,High,Declining,High,Low,Low,High,Low,Medium
20777,20777,Highland,MD,Howard,39.17487,-76.96783,3220.0,2.91,164.9,RURAL,215833,adult,-6.747755574862438,590,11401,1.0,Premium Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Declining,High,Low,High,Low,Low,Low
20147,20147,Ashburn,VA,Loudoun,39.04151,-77.47958,66917.0,2.73,1317.0,SUBURBAN,154714,millennial,5.442541323290737,740,13591,2.0,Healthy Lifestyle Market,higher-income trade area,health-oriented food concentration,High,Balanced Age Demand,High,Growing,Medium,Medium,Low,Medium,Medium,High
20607,20607,Accokeek,MD,Prince George's,38.67161,-77.02478,12080.0,2.99,270.3,RURAL,151475,adult,12.434847356664184,1297,24030,1.0,Premium Dining Market,higher-income trade area,competitive intensity,High,Balanced Age Demand,High,Growing,High,Low,High,Low,Low,Low
20745,20745,Oxon Hill,MD,Prince George's,38.80552,-76.99495,29355.0,2.44,1697.3,SUBURBAN,77869,millennial,-1.0716813264583964,1297,24030,1.0,Social Dining Market,value-oriented trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Low,Declining,Medium,High,Low,Low,High,Low
20902,20902,Silver Spring,MD,Montgomery,39.04381,-77.0421,53308.0,2.97,2769.9,SUBURBAN,105677,millennial,0.9506495473999167,1678,28050,1.0,Social Dining Market,mid-market trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Medium,Stable,Low,High,Medium,Low,High,Low
21060,21060,Glen Burnie,MD,Anne Arundel,39.16893,-76.58346,38418.0,2.47,1182.2,SUBURBAN,95596,millennial,16.563002518280285,1069,23961,1.0,Social Dining Market,mid-market trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Medium,Growing,Low,High,Low,Low,High,High
22314,22314,Alexandria,VA,Alexandria,38.80732,-77.0563,35577.0,1.83,3819.0,URBAN,143031,millennial,7.838501409475311,346,7076,1.0,Premium Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Growing,Medium,High,Low,Low,Low,Low
20010,20010,Washington,DC,District of Columbia,38.93255,-77.03128,32254.0,2.2,12343.1,URBAN,106560,millennial,-4.159980982944078,2046,40920,2.0,Premium Dining Market,mid-market trade area,competitive intensity,High,Balanced Age Demand,Medium,Declining,High,Low,Medium,Low,Low,Low
20003,20003,Washington,DC,District of Columbia,38.88193,-76.99033,34585.0,1.86,6367.9,URBAN,155054,millennial,14.296572920453418,2046,40920,2.0,Social Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Growing,High,Low,Low,High,Low,Low
21146,21146,Severna Park,MD,Anne Arundel,39.07737,-76.55613,29710.0,2.9,1089.2,SUBURBAN,171848,adult,6.537096137985442,1069,23961,2.0,Premium Dining Market,higher-income trade area,fast-service concentration,High,Balanced Age Demand,High,Growing,High,Medium,Low,High,High,Low
21117,21117,Owings Mills,MD,Baltimore,39.42719,-76.77795,58516.0,2.45,816.1,RURAL,96672,millennial,-1.3686623516720604,1418,25165,1.0,Family Value Market,mid-market trade area,fast-service concentration,High,Balanced Age Demand,Medium,Declining,Low,Medium,High,Medium,High,Low
21157,21157,Westminster,MD,Carroll,39.54889,-76.98162,39816.0,2.58,193.7,RURAL,96406,adult,7.058159232072275,251,5327,1.0,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Growing,Low,High,Medium,Medium,High,High
20603,20603,Waldorf,MD,Charles,38.62972,-76.97473,32495.0,2.9,759.1,RURAL,132753,millennial,4.995314872855343,232,5512,1.0,Social Dining Market,higher-income trade area,wings and chicken-wing concentration,High,Balanced Age Demand,High,Stable,Medium,Medium,High,Low,High,Low
22102,22102,McLean,VA,Fairfax,38.95199,-77.22901,28356.0,2.2,915.6,RURAL,149420,millennial,15.913829047949966,2149,36281,1.0,Social Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Growing,Medium,High,Low,High,Low,Low
20009,20009,Washington,DC,District of Columbia,38.91986,-77.03749,50247.0,1.74,14690.5,URBAN,132374,millennial,-2.51251406619844,2046,40920,4.0,Premium Dining Market,higher-income trade area,health-oriented food concentration,Medium,Balanced Age Demand,High,Declining,High,Low,Low,High,Low,Medium
21222,21222,Dundalk,MD,Baltimore,39.26424,-76.49537,60013.0,2.67,1994.0,SUBURBAN,60483,millennial,9.570758247977945,1418,25165,1.0,Family Value Market,value-oriented trade area,fast-service concentration,High,Balanced Age Demand,Low,Growing,Low,Medium,High,Low,High,Low
20109,20109,Manassas,VA,Prince William,38.79472,-77.53105,44781.0,3.03,736.4,RURAL,83248,millennial,11.0805179342164,729,13760,1.0,Social Dining Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Growing,Low,Medium,Medium,Low,High,High
22401,22401,Fredericksburg,VA,Fredericksburg,38.29928,-77.48704,28218.0,2.3,1070.2,SUBURBAN,83288,millennial,0.29500622001066285,164,3596,2.0,Premium Dining Market,value-oriented trade area,fast-service concentration,Medium,Balanced Age Demand,Low,Stable,High,Low,High,High,Medium,Low
20007,20007,Washington,DC,District of Columbia,38.91259,-77.07756,23797.0,1.93,3074.3,URBAN,145048,millennial,-12.32407339179132,2046,40920,1.0,Premium Dining Market,higher-income trade area,customer engagement,High,Balanced Age Demand,High,Declining,Medium,Low,High,High,Low,Low
20815,20815,Chevy Chase,MD,Montgomery,38.98369,-77.07845,31080.0,2.33,2187.4,SUBURBAN,185873,adult,1.9818873867961675,1678,28050,1.0,Healthy Lifestyle Market,higher-income trade area,health-oriented food concentration,High,Balanced Age Demand,High,Stable,Medium,High,Low,High,High,High
20011,20011,Washington,DC,District of Columbia,38.95295,-77.02323,67127.0,2.45,4854.8,URBAN,97327,millennial,-0.19328843094399095,2046,40920,2.0,Social Dining Market,mid-market trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Medium,Declining,Medium,Low,Medium,Medium,High,Low
21061,21061,Glen Burnie,MD,Anne Arundel,39.16116,-76.63226,55172.0,2.49,1812.6,SUBURBAN,79778,millennial,2.9635712152881455,1069,23961,3.0,Social Dining Market,value-oriented trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Low,Stable,High,Low,Low,Medium,High,Low
22556,22556,Stafford,VA,Stafford,38.48624,-77.513,31200.0,3.28,264.8,RURAL,126219,millennial,8.529288994016975,174,3229,1.0,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Growing,Medium,High,Medium,Medium,High,High
22203,22203,Arlington,VA,Arlington,38.87377,-77.1164,25753.0,1.93,6541.6,URBAN,123315,millennial,6.4701504878452125,547,10945,2.0,Premium Dining Market,mid-market trade area,competitive intensity,High,Balanced Age Demand,Medium,Growing,High,Low,High,High,Low,Low
20601,20601,Waldorf,MD,Charles,38.61863,-76.85715,27328.0,2.77,217.5,RURAL,115742,millennial,5.358932839848871,232,5512,1.0,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Stable,Medium,Medium,High,Low,High,High
20852,20852,Rockville,MD,Montgomery,39.05134,-77.12507,48379.0,2.22,2303.9,SUBURBAN,121550,millennial,3.911250483268182,1678,28050,3.0,Social Dining Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Stable,High,Medium,Low,High,Medium,High
22030,22030,Fairfax,VA,Fairfax,38.83891,-77.34188,61665.0,2.6,1217.8,SUBURBAN,137664,millennial,3.537727929077538,2149,36281,1.0,Social Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Stable,Low,High,Low,Medium,High,High
21212,21212,Baltimore,MD,Baltimore,39.3678,-76.61456,33861.0,2.63,2860.4,SUBURBAN,94014,millennial,-0.438106439282564,1177,15209,1.0,Healthy Lifestyle Market,value-oriented trade area,health-oriented food concentration,High,Balanced Age Demand,Low,Declining,Medium,Low,High,Low,Low,High
21061,21061,Glen Burnie,MD,Anne Arundel,39.16116,-76.63226,55172.0,2.49,1812.6,SUBURBAN,79778,millennial,2.9635712152881455,1069,23961,3.0,Social Dining Market,value-oriented trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Low,Stable,High,Low,Low,Medium,High,Low
20147,20147,Ashburn,VA,Loudoun,39.04151,-77.47958,66917.0,2.73,1317.0,SUBURBAN,154714,millennial,5.442541323290737,740,13591,2.0,Healthy Lifestyle Market,higher-income trade area,health-oriented food concentration,High,Balanced Age Demand,High,Growing,Medium,Medium,Low,Medium,Medium,High
20854,20854,Potomac,MD,Montgomery,39.03413,-77.22149,49320.0,2.92,576.7,RURAL,241697,adult,-0.4119214926096438,1678,28050,1.0,Social Dining Market,higher-income trade area,fast-service concentration,High,Balanced Age Demand,High,Declining,Low,High,Low,High,High,Low
22202,22202,Arlington,VA,Arlington,38.8569,-77.05175,28084.0,1.76,2728.7,SUBURBAN,137736,millennial,19.460632098345314,547,10945,1.0,Social Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Growing,Medium,High,Medium,Medium,High,High
20740,20740,College Park,MD,Prince George's,39.00193,-76.93096,36583.0,2.69,1619.9,SUBURBAN,79446,young,14.784600420444919,1297,24030,1.0,Family Value Market,value-oriented trade area,fast-service concentration,High,Balanced Age Demand,Low,Growing,Medium,Medium,Medium,Medium,High,Low
22203,22203,Arlington,VA,Arlington,38.87377,-77.1164,25753.0,1.93,6541.6,URBAN,123315,millennial,6.4701504878452125,547,10945,2.0,Premium Dining Market,mid-market trade area,competitive intensity,High,Balanced Age Demand,Medium,Growing,High,Low,High,High,Low,Low
20006,20006,Washington,DC,District of Columbia,38.89847,-77.04119,1257.0,1.28,1490.9,SUBURBAN,34352,young,-54.7841726618705,2046,40920,2.0,Social Dining Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Declining,High,Medium,Medium,High,Medium,High
20852,20852,Rockville,MD,Montgomery,39.05134,-77.12507,48379.0,2.22,2303.9,SUBURBAN,121550,millennial,3.911250483268182,1678,28050,3.0,Social Dining Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Stable,High,Medium,Low,High,Medium,High
20136,20136,Bristow,VA,Prince William,38.7374,-77.55473,31733.0,3.48,902.1,RURAL,171674,millennial,3.692448452766069,729,13760,1.0,Healthy Lifestyle Market,higher-income trade area,fast-service concentration,High,Balanced Age Demand,High,Stable,Medium,Medium,Medium,Medium,High,Low
20166,20166,Sterling,VA,Loudoun,38.97146,-77.4637,13479.0,2.73,212.3,RURAL,133085,millennial,34.360047846889955,740,13591,1.0,Premium Dining Market,higher-income trade area,fast-service concentration,High,Balanced Age Demand,High,Growing,High,High,Low,Medium,High,Low
21202,21202,Baltimore,MD,Baltimore,39.29705,-76.60747,20115.0,1.63,4942.8,URBAN,59098,millennial,-7.678538645125757,1177,15209,2.0,Social Dining Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Declining,High,Medium,Low,High,Medium,Low
22312,22312,Alexandria,VA,Fairfax,38.81685,-77.15372,26573.0,2.56,2016.3,SUBURBAN,101374,millennial,-19.74085596061494,2149,36281,1.0,Social Dining Market,mid-market trade area,fast-service concentration,High,Balanced Age Demand,Medium,Declining,Medium,High,Low,Medium,High,Low
20010,20010,Washington,DC,District of Columbia,38.93255,-77.03128,32254.0,2.2,12343.1,URBAN,106560,millennial,-4.159980982944078,2046,40920,2.0,Premium Dining Market,mid-market trade area,competitive intensity,High,Balanced Age Demand,Medium,Declining,High,Low,Medium,Low,Low,Low
22150,22150,Springfield,VA,Fairfax,38.77198,-77.18605,27734.0,2.91,1415.9,SUBURBAN,112331,adult,1.4374017043999854,2149,36281,1.0,Family Value Market,mid-market trade area,fast-service concentration,High,Balanced Age Demand,Medium,Stable,Medium,Low,High,Medium,High,Low
20002,20002,Washington,DC,District of Columbia,38.90511,-76.98431,70043.0,2.04,5441.7,URBAN,107130,millennial,13.362034084839852,2046,40920,3.0,Social Dining Market,mid-market trade area,beverage-led food concentration,High,Balanced Age Demand,Medium,Growing,Medium,Medium,Low,High,Low,Medium
20008,20008,Washington,DC,District of Columbia,38.93539,-77.05935,29545.0,1.74,3678.8,URBAN,123134,millennial,0.060961154197852814,2046,40920,1.0,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Stable,Medium,High,Medium,High,High,High
21701,21701,Frederick,MD,Frederick,39.44729,-77.33512,40787.0,2.28,418.6,RURAL,97769,millennial,11.145325230945309,449,8867,1.0,Healthy Lifestyle Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Growing,Low,Low,High,Medium,Low,High
21211,21211,Baltimore,MD,Baltimore,39.32857,-76.6389,15935.0,1.88,2015.8,SUBURBAN,79909,millennial,-3.048186906789973,1177,15209,1.0,Social Dining Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Declining,High,Medium,High,Low,High,Low
21401,21401,Annapolis,MD,Anne Arundel,38.98967,-76.5505,40442.0,2.2,748.3,RURAL,114699,adult,11.937778515873674,1069,23961,1.0,Social Dining Market,mid-market trade area,beverage-led food concentration,High,Balanced Age Demand,Medium,Growing,Low,High,Medium,Low,High,Low
21042,21042,Ellicott City,MD,Howard,39.27105,-76.8924,42528.0,2.84,452.1,RURAL,178207,adult,5.298603545607606,590,11401,1.0,Healthy Lifestyle Market,higher-income trade area,health-oriented food concentration,High,Balanced Age Demand,High,Stable,Low,High,Medium,Low,Low,High
21076,21076,Hanover,MD,Anne Arundel,39.16856,-76.72239,22041.0,2.52,712.9,RURAL,137237,millennial,33.08978926393334,1069,23961,2.0,Premium Dining Market,higher-income trade area,wings and chicken-wing concentration,High,Balanced Age Demand,High,Growing,High,High,Low,High,High,Low
20877,20877,Gaithersburg,MD,Montgomery,39.14068,-77.18865,38524.0,3.04,2638.4,SUBURBAN,86134,millennial,-0.7241334879525835,1678,28050,1.0,Family Value Market,value-oriented trade area,fast-service concentration,High,Balanced Age Demand,Low,Declining,Low,Low,High,Medium,High,Low
20036,20036,Washington,DC,District of Columbia,38.90705,-77.04155,4734.0,1.25,5476.7,URBAN,106930,millennial,-18.88279643591501,2046,40920,1.0,Premium Dining Market,mid-market trade area,health-oriented food concentration,High,Balanced Age Demand,Medium,Declining,High,Low,High,High,Low,High
20260,20260,Washington,DC,District of Columbia,38.88355,-77.02504,0.0,-666666666.0,0.0,RURAL,-666666666,unknown,,2046,40920,1.0,Social Dining Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Stable,Medium,Medium,High,Medium,Low,Low
20004,20004,Washington,DC,District of Columbia,38.89504,-77.02661,1782.0,1.34,3644.4,URBAN,152955,adult,3.7856726849155504,2046,40920,1.0,Premium Dining Market,higher-income trade area,competitive intensity,High,Balanced Age Demand,High,Stable,High,High,Low,Low,Low,Low
20002,20002,Washington,DC,District of Columbia,38.90511,-76.98431,70043.0,2.04,5441.7,URBAN,107130,millennial,13.362034084839852,2046,40920,3.0,Social Dining Market,mid-market trade area,beverage-led food concentration,High,Balanced Age Demand,Medium,Growing,Medium,Medium,Low,High,Low,Medium
21202,21202,Baltimore,MD,Baltimore,39.29705,-76.60747,20115.0,1.63,4942.8,URBAN,59098,millennial,-7.678538645125757,1177,15209,2.0,Social Dining Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Declining,High,Medium,Low,High,Medium,Low
20009,20009,Washington,DC,District of Columbia,38.91986,-77.03749,50247.0,1.74,14690.5,URBAN,132374,millennial,-2.51251406619844,2046,40920,4.0,Premium Dining Market,higher-income trade area,health-oriented food concentration,Medium,Balanced Age Demand,High,Declining,High,Low,Low,High,Low,Medium
20832,20832,Olney,MD,Montgomery,39.15134,-77.07331,25488.0,3.0,1026.7,SUBURBAN,160287,adult,-5.065554231227652,1678,28050,1.0,Healthy Lifestyle Market,higher-income trade area,health-oriented food concentration,High,Balanced Age Demand,High,Declining,Medium,Medium,Medium,High,Low,High
20011,20011,Washington,DC,District of Columbia,38.95295,-77.02323,67127.0,2.45,4854.8,URBAN,97327,millennial,-0.19328843094399095,2046,40920,2.0,Social Dining Market,mid-market trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Medium,Declining,Medium,Low,Medium,Medium,High,Low
